nobs,month,year,prec
1,1,1917,450.339996337891
2,2,1917,392.950012207031
3,3,1917,258.25
4,4,1917,344.559997558594
5,5,1917,190.529998779297
6,6,1917,83.8199996948242
7,7,1917,88.55999755859379
8,8,1917,115.069999694824
9,9,1917,262.19000244140597
10,10,1917,346.260009765625
11,11,1917,305.630004882812
12,12,1917,387.010009765625
13,1,1918,332.359985351562
14,2,1918,447.76998901367205
15,3,1918,280.239990234375
16,4,1918,221.38000488281202
17,5,1918,149.72000122070298
18,6,1918,47.810001373290994
19,7,1918,13.0100002288818
20,8,1918,35.790000915527294
21,9,1918,24.4500007629395
22,10,1918,57.5999984741211
23,11,1918,270.05999755859403
24,12,1918,479.179992675781
25,1,1919,565.200012207031
26,2,1919,437.98001098632795
27,3,1919,270.95001220703097
28,4,1919,354.22000122070295
29,5,1919,365.320007324219
30,6,1919,127.87999725341801
31,7,1919,12.3500003814697
32,8,1919,31.0799999237061
33,9,1919,53.3400001525879
34,10,1919,57.439998626709006
35,11,1919,394.829986572266
36,12,1919,403.72000122070295
37,1,1920,363.25
38,2,1920,360.559997558594
39,3,1920,449.089996337891
40,4,1920,334.119995117188
41,5,1920,108.639999389648
42,6,1920,96.0400009155273
43,7,1920,41.9900016784668
44,8,1920,308.649993896484
45,9,1920,306.399993896484
46,10,1920,465.649993896484
47,11,1920,240.52000427246102
48,12,1920,271.970001220703
49,1,1921,360.619995117188
50,2,1921,298.67999267578097
51,3,1921,526.989990234375
52,4,1921,174.399993896484
53,5,1921,77.11000061035159
54,6,1921,81.8399963378906
55,7,1921,68.59999847412111
56,8,1921,48.6399993896484
57,9,1921,100.680000305176
58,10,1921,211.919998168945
59,11,1921,241.410003662109
60,12,1921,470.130004882812
61,1,1922,461.619995117188
62,2,1922,373.630004882812
63,3,1922,357.880004882812
64,4,1922,293.25
65,5,1922,315.5
66,6,1922,149.710006713867
67,7,1922,80.4000015258789
68,8,1922,23.8400001525879
69,9,1922,58.9500007629395
70,10,1922,279.0
71,11,1922,294.029998779297
72,12,1922,283.05999755859403
73,1,1923,427.190002441406
74,2,1923,405.079986572266
75,3,1923,288.899993896484
76,4,1923,243.080001831055
77,5,1923,289.420013427734
78,6,1923,208.940002441406
79,7,1923,285.5
80,8,1923,2.57999992370605
81,9,1923,11.6599998474121
82,10,1923,35.1500015258789
83,11,1923,216.820007324219
84,12,1923,362.049987792969
85,1,1924,402.0
86,2,1924,383.380004882812
87,3,1924,408.510009765625
88,4,1924,363.75
89,5,1924,237.289993286133
90,6,1924,142.580001831055
91,7,1924,32.560001373291
92,8,1924,8.64999961853027
93,9,1924,37.1399993896484
94,10,1924,411.100006103516
95,11,1924,425.320007324219
96,12,1924,368.22000122070295
97,1,1925,348.75
98,2,1925,346.799987792969
99,3,1925,388.630004882812
100,4,1925,246.190002441406
101,5,1925,82.2699966430664
102,6,1925,0.980000019073486
103,7,1925,8.71000003814697
104,8,1925,2.52999997138977
105,9,1925,14.529999732971199
106,10,1925,27.649999618530305
107,11,1925,180.669998168945
108,12,1925,431.570007324219
109,1,1926,419.600006103516
110,2,1926,505.890014648438
111,3,1926,531.969970703125
112,4,1926,213.809997558594
113,5,1926,286.839996337891
114,6,1926,10.039999961853
115,7,1926,2.49000000953674
116,8,1926,10.8100004196167
117,9,1926,28.8199996948242
118,10,1926,90.75
119,11,1926,219.600006103516
120,12,1926,546.510009765625
121,1,1927,442.239990234375
122,2,1927,301.32000732421903
123,3,1927,364.760009765625
124,4,1927,281.04998779296903
125,5,1927,229.899993896484
126,6,1927,124.0
127,7,1927,70.8000030517578
128,8,1927,33.720001220703104
129,9,1927,41.8699989318848
130,10,1927,183.61999511718798
131,11,1927,398.700012207031
132,12,1927,435.859985351562
133,1,1928,425.79000854492205
134,2,1928,369.95999145507795
135,3,1928,522.280029296875
136,4,1928,267.019989013672
137,5,1928,135.649993896484
138,6,1928,135.800003051758
139,7,1928,51.040000915527294
140,8,1928,150.22000122070298
141,9,1928,49.470001220703104
142,10,1928,217.300003051758
143,11,1928,359.869995117188
144,12,1928,506.649993896484
145,1,1929,393.369995117188
146,2,1929,310.30999755859403
147,3,1929,501.700012207031
148,4,1929,195.49000549316398
149,5,1929,44.369998931884794
150,6,1929,55.7400016784668
151,7,1929,8.199999809265138
152,8,1929,6.09000015258789
153,9,1929,36.0499992370605
154,10,1929,93.9800033569336
155,11,1929,219.61999511718798
156,12,1929,409.350006103516
157,1,1930,297.75
158,2,1930,441.47000122070295
159,3,1930,341.07000732421903
160,4,1930,313.839996337891
161,5,1930,360.369995117188
162,6,1930,26.8700008392334
163,7,1930,52.619998931884794
164,8,1930,30.8600006103516
165,9,1930,44.560001373290994
166,10,1930,214.460006713867
167,11,1930,274.67999267578097
168,12,1930,391.829986572266
169,1,1931,471.95999145507795
170,2,1931,364.690002441406
171,3,1931,415.600006103516
172,4,1931,293.019989013672
173,5,1931,255.74000549316398
174,6,1931,146.570007324219
175,7,1931,65.48000335693361
176,8,1931,42.720001220703104
177,9,1931,45.6399993896484
178,10,1931,237.660003662109
179,11,1931,212.820007324219
180,12,1931,329.459991455078
181,1,1932,430.54000854492205
182,2,1932,375.109985351562
183,3,1932,434.52999877929705
184,4,1932,348.5
185,5,1932,248.52000427246102
186,6,1932,178.100006103516
187,7,1932,29.899999618530305
188,8,1932,9.05000019073486
189,9,1932,103.779998779297
190,10,1932,140.660003662109
191,11,1932,272.380004882812
192,12,1932,299.70001220703097
193,1,1933,489.79000854492205
194,2,1933,392.929992675781
195,3,1933,386.410003662109
196,4,1933,272.19000244140597
197,5,1933,246.929992675781
198,6,1933,154.059997558594
199,7,1933,50.25
200,8,1933,127.23999786377001
201,9,1933,204.190002441406
202,10,1933,262.260009765625
203,11,1933,300.540008544922
204,12,1933,353.899993896484
205,1,1934,456.100006103516
206,2,1934,348.920013427734
207,3,1934,392.98001098632795
208,4,1934,386.910003662109
209,5,1934,129.22000122070298
210,6,1934,50.41999816894529
211,7,1934,24.3299999237061
212,8,1934,8.85000038146973
213,9,1934,56.220001220703104
214,10,1934,200.190002441406
215,11,1934,395.179992675781
216,12,1934,342.75
217,1,1935,395.829986572266
218,2,1935,362.880004882812
219,3,1935,320.019989013672
220,4,1935,296.079986572266
221,5,1935,114.26000213622999
222,6,1935,47.7700004577637
223,7,1935,1.79999995231628
224,8,1935,7.21000003814697
225,9,1935,14.229999542236301
226,10,1935,199.610000610352
227,11,1935,325.19000244140597
228,12,1935,285.380004882812
229,1,1936,418.97000122070295
230,2,1936,362.48001098632795
231,3,1936,456.489990234375
232,4,1936,334.140014648438
233,5,1936,165.210006713867
234,6,1936,136.600006103516
235,7,1936,49.2000007629395
236,8,1936,40.0900001525879
237,9,1936,47.5699996948242
238,10,1936,210.039993286133
239,11,1936,317.32000732421903
240,12,1936,296.920013427734
241,1,1937,445.079986572266
242,2,1937,304.239990234375
243,3,1937,376.380004882812
244,4,1937,338.359985351562
245,5,1937,274.600006103516
246,6,1937,207.02000427246102
247,7,1937,18.1499996185303
248,8,1937,2.4000000953674303
249,9,1937,59.060001373290994
250,10,1937,143.389999389648
251,11,1937,212.72999572753898
252,12,1937,502.5
253,1,1938,485.809997558594
254,2,1938,413.700012207031
255,3,1938,331.079986572266
256,4,1938,266.369995117188
257,5,1938,307.82000732421903
258,6,1938,236.22999572753898
259,7,1938,185.75999450683602
260,8,1938,130.570007324219
261,9,1938,29.6800003051758
262,10,1938,190.710006713867
263,11,1938,339.589996337891
264,12,1938,382.079986572266
265,1,1939,363.929992675781
266,2,1939,312.920013427734
