7.282410225197808451e-01 6.679853925745584675e-01 5.356055995130859504e-01
7.054169202678035600e-01 7.282410225197808451e-01 6.679853925745584675e-01
6.500304321363357118e-01 7.054169202678035600e-01 7.282410225197808451e-01
5.356055995130855063e-01 6.500304321363357118e-01 7.054169202678035600e-01
5.319537431527692206e-01 5.356055995130855063e-01 6.500304321363357118e-01
7.604990870359098487e-01 5.319537431527692206e-01 5.356055995130855063e-01
7.544126597687157432e-01 7.604990870359098487e-01 5.319537431527692206e-01
8.085818624467433491e-01 7.544126597687157432e-01 7.604990870359098487e-01
8.018867924528298996e-01 8.085818624467433491e-01 7.544126597687157432e-01
7.641509433962268005e-01 8.018867924528298996e-01 8.085818624467433491e-01
5.450395617772370027e-01 7.641509433962268005e-01 8.018867924528298996e-01
6.615946439440045790e-01 5.450395617772370027e-01 7.641509433962268005e-01
6.792452830188677737e-01 6.615946439440045790e-01 5.450395617772370027e-01
7.659768715763843883e-01 6.792452830188677737e-01 6.615946439440045790e-01
7.842361533779671490e-01 7.659768715763843883e-01 6.792452830188677737e-01
7.726719415702980598e-01 7.842361533779671490e-01 7.659768715763843883e-01
5.839926962872790117e-01 7.726719415702980598e-01 7.842361533779671490e-01
5.191722458916609995e-01 5.839926962872790117e-01 7.726719415702980598e-01
5.219111381618988244e-01 5.191722458916609995e-01 5.839926962872790117e-01
5.925136944613511591e-01 5.219111381618988244e-01 5.191722458916609995e-01
6.147291539866095444e-01 5.925136944613511591e-01 5.219111381618988244e-01
6.679853925745584675e-01 6.147291539866095444e-01 5.925136944613511591e-01
6.972002434570905294e-01 6.679853925745584675e-01 6.147291539866095444e-01
6.825928180158247205e-01 6.972002434570905294e-01 6.679853925745584675e-01
7.690200852099817741e-01 6.825928180158247205e-01 6.972002434570905294e-01
7.124163116250759042e-01 7.690200852099817741e-01 6.825928180158247205e-01
7.382836275106512414e-01 7.124163116250759042e-01 7.690200852099817741e-01
7.808886183810102022e-01 7.382836275106512414e-01 7.124163116250759042e-01
8.198417528910524332e-01 7.808886183810102022e-01 7.382836275106512414e-01
7.985392574558736190e-01 8.198417528910524332e-01 7.808886183810102022e-01
7.434570906877662200e-01 7.985392574558736190e-01 8.198417528910524332e-01
