nobs,month,year,prec
1,1,1917,350.140014648438
2,2,1917,352.079986572266
3,3,1917,251.029998779297
4,4,1917,193.389999389648
5,5,1917,277.029998779297
6,6,1917,217.169998168945
7,7,1917,198.210006713867
8,8,1917,332.489990234375
9,9,1917,378.200012207031
10,10,1917,299.760009765625
11,11,1917,280.529998779297
12,12,1917,216.02000427246102
13,1,1918,341.890014648438
14,2,1918,32.220001220703104
15,3,1918,274.880004882812
16,4,1918,195.570007324219
17,5,1918,346.95999145507795
18,6,1918,145.350006103516
19,7,1918,64.59999847412111
20,8,1918,57.970001220703104
21,9,1918,84.9000015258789
22,10,1918,250.279998779297
23,11,1918,327.670013427734
24,12,1918,350.149993896484
25,1,1919,441.350006103516
26,2,1919,283.130004882812
27,3,1919,276.75
28,4,1919,208.580001831055
29,5,1919,270.100006103516
30,6,1919,67.1999969482422
31,7,1919,194.11999511718798
32,8,1919,31.7299995422363
33,9,1919,255.440002441406
34,10,1919,192.27000427246102
35,11,1919,332.089996337891
36,12,1919,300.769989013672
37,1,1920,353.670013427734
38,2,1920,136.509994506836
39,3,1920,358.179992675781
40,4,1920,333.510009765625
41,5,1920,181.699996948242
42,6,1920,204.529998779297
43,7,1920,69.620002746582
44,8,1920,201.589996337891
45,9,1920,340.67999267578097
46,10,1920,338.899993896484
47,11,1920,285.730010986328
48,12,1920,251.88000488281202
49,1,1921,353.309997558594
50,2,1921,371.26998901367205
51,3,1921,358.51998901367205
52,4,1921,221.910003662109
53,5,1921,372.20999145507795
54,6,1921,197.679992675781
55,7,1921,251.199996948242
56,8,1921,137.639999389648
57,9,1921,291.350006103516
58,10,1921,331.510009765625
59,11,1921,270.730010986328
60,12,1921,317.239990234375
61,1,1922,396.79000854492205
62,2,1922,166.949996948242
63,3,1922,343.73001098632795
64,4,1922,367.450012207031
65,5,1922,284.17999267578097
66,6,1922,203.710006713867
67,7,1922,128.889999389648
68,8,1922,149.660003662109
69,9,1922,213.309997558594
70,10,1922,412.200012207031
71,11,1922,241.419998168945
72,12,1922,298.329986572266
73,1,1923,342.899993896484
74,2,1923,355.339996337891
75,3,1923,239.699996948242
76,4,1923,330.67999267578097
77,5,1923,262.779998779297
78,6,1923,149.850006103516
79,7,1923,280.369995117188
80,8,1923,65.7900009155273
81,9,1923,69.120002746582
82,10,1923,312.239990234375
83,11,1923,361.170013427734
84,12,1923,394.679992675781
85,1,1924,261.459991455078
86,2,1924,233.460006713867
87,3,1924,385.670013427734
88,4,1924,294.470001220703
89,5,1924,393.369995117188
90,6,1924,167.309997558594
91,7,1924,229.289993286133
92,8,1924,105.650001525879
93,9,1924,311.510009765625
94,10,1924,294.730010986328
95,11,1924,393.570007324219
96,12,1924,283.709991455078
97,1,1925,295.010009765625
98,2,1925,346.47000122070295
99,3,1925,208.100006103516
100,4,1925,246.419998168945
101,5,1925,187.52000427246102
102,6,1925,100.01000213622999
103,7,1925,141.059997558594
104,8,1925,111.459999084473
