Site,FBeM_MTL,FBeM,ePL-KRLS,ePL+,eTs_plus,eTS_KRLS,eTS-LS-SVM,ePL,eTS,MLP,ANFIS,pred_lin
0.0,7.0,7.0,nan,nan,8.0,47.0,nan,1.0,nan,nan,nan,nan
1.0,2.0,2.0,nan,nan,nan,75.0,nan,nan,nan,nan,nan,nan
2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
