8991.7	1443.3	-449.92
9079.4	1443.2	-454.45
9172.9	1443.2	-459.29
9090.1	1443.1	-454.96
8927.7	1443	-446.51
9039.9	1443	-452.32
9062	1442.9	-453.45
8948.7	1442.8	-447.55
8922.4	1442.8	-446.16
9167.7	1442.7	-459.81
8910.7	1442.6	-448.22
8848.4	1442.6	-446.39
9021	1442.5	-457.21
9025.4	1442.4	-458.01
9084.8	1442.3	-461.31
8989.5	1442.3	-458.12
9109.6	1442.2	-465.74
9236.6	1442.1	-474.32
9054.1	1442	-466.48
9146.4	1442	-472.9
9084.5	1441.9	-470.98
9085.3	1441.8	-471.19
9128.6	1441.7	-473.41
8903.3	1441.7	-461.7
9022.2	1441.6	-467.85
9004.7	1441.5	-466.91
8959.9	1441.4	-464.57
8879	1441.3	-460.34
8930	1441.3	-462.96
8873.6	1441.2	-460.01
8917.9	1441.1	-462.29
9218.3	1441	-477.83
9074.3	1440.9	-470.34
9058.6	1440.9	-469.5
8893.7	1440.8	-460.93
8836.9	1440.7	-457.96
9013.9	1440.6	-467.11
9120.6	1440.6	-472.61
9068.4	1440.5	-469.88
9090.2	1440.4	-470.99
9059	1440.3	-469.34
9020.1	1440.2	-467.3
8947.4	1440.2	-463.51
8969.9	1440.1	-464.65
8934.4	1440	-462.79
9013.4	1439.9	-466.85
9099.5	1439.8	-471.28
9012.8	1439.8	-466.77
9080	1439.7	-470.22
8942.7	1439.6	-463.09
9122.2	1439.5	-472.36
8923.1	1439.4	-462.02
9108.1	1439.4	-471.57
9068.4	1439.3	-469.49
9188.7	1439.2	-475.69
8994.3	1439.1	-465.61
8960.4	1439.1	-463.82
9152.1	1439	-473.72
9128.2	1438.9	-472.46
8970.5	1438.8	-464.27
8786.8	1438.7	-454.74
8952.3	1438.7	-463.28
9087.8	1438.6	-470.26
9092.1	1438.5	-470.46
9241	1438.4	-478.14
9080.1	1438.3	-469.78
8948.3	1438.3	-462.94
9019.3	1438.2	-466.59
9099	1438.1	-470.69
8873.8	1438	-459.01
8884.2	1437.9	-459.53
9043.8	1437.8	-467.75
9106.7	1437.8	-470.99
9087	1437.7	-469.94
9079.8	1437.6	-469.54
9178.6	1437.5	-474.62
9030	1437.5	-466.91
9065	1437.4	-468.69
8920.9	1437.3	-461.22
8913.6	1437.2	-460.82
9085.7	1437.1	-469.69
9088.6	1437.1	-469.82
9168.3	1437	-473.9
9061.3	1436.9	-468.35
9016	1436.8	-465.99
9183.4	1436.7	-474.61
9170.7	1436.7	-473.93
8849	1436.6	-457.27
8940	1436.5	-461.95
9166.6	1436.4	-473.64
9124.4	1436.3	-471.43
9132.4	1436.3	-471.82
9169.5	1436.2	-473.7
