nobs,month,year,prec
1,1,1917,232.809997558594
2,2,1917,288.640014648438
3,3,1917,184.320007324219
4,4,1917,378.160003662109
5,5,1917,357.109985351562
6,6,1917,273.529998779297
7,7,1917,261.730010986328
8,8,1917,207.839996337891
9,9,1917,164.11999511718798
10,10,1917,245.720001220703
11,11,1917,192.25
12,12,1917,224.179992675781
13,1,1918,208.75999450683602
14,2,1918,154.5
15,3,1918,172.470001220703
16,4,1918,268.970001220703
17,5,1918,267.540008544922
18,6,1918,122.19000244140601
19,7,1918,66.1399993896484
20,8,1918,10.789999961853
21,9,1918,8.27999973297119
22,10,1918,33.939998626709
23,11,1918,126.849998474121
24,12,1918,308.130004882812
25,1,1919,230.99000549316398
26,2,1919,243.419998168945
27,3,1919,255.360000610352
28,4,1919,269.100006103516
29,5,1919,401.339996337891
30,6,1919,185.580001831055
31,7,1919,149.440002441406
32,8,1919,37.7599983215332
33,9,1919,56.9799995422363
34,10,1919,11.539999961853
35,11,1919,80.9899978637695
36,12,1919,198.710006713867
37,1,1920,224.210006713867
38,2,1920,115.73999786377001
39,3,1920,298.510009765625
40,4,1920,330.859985351562
41,5,1920,304.829986572266
42,6,1920,230.429992675781
43,7,1920,138.160003662109
44,8,1920,152.020004272461
45,9,1920,125.819999694824
46,10,1920,179.22999572753898
47,11,1920,153.990005493164
48,12,1920,150.179992675781
49,1,1921,192.610000610352
50,2,1921,308.579986572266
51,3,1921,316.350006103516
52,4,1921,262.869995117188
53,5,1921,295.07000732421903
54,6,1921,301.350006103516
55,7,1921,224.330001831055
56,8,1921,146.669998168945
57,9,1921,109.279998779297
58,10,1921,120.26999664306601
59,11,1921,161.5
60,12,1921,182.830001831055
61,1,1922,217.389999389648
62,2,1922,120.76000213622999
63,3,1922,267.45001220703097
64,4,1922,264.899993896484
65,5,1922,266.92999267578097
66,6,1922,282.82000732421903
67,7,1922,189.160003662109
68,8,1922,93.0199966430664
69,9,1922,29.2099990844727
70,10,1922,112.26000213622999
71,11,1922,97.7900009155273
72,12,1922,151.149993896484
73,1,1923,239.089996337891
74,2,1923,194.830001831055
75,3,1923,195.949996948242
76,4,1923,269.829986572266
77,5,1923,273.459991455078
78,6,1923,129.669998168945
79,7,1923,265.380004882812
80,8,1923,45.41999816894529
81,9,1923,22.690000534057607
82,10,1923,98.9599990844727
83,11,1923,73.5400009155273
84,12,1923,284.720001220703
85,1,1924,279.45001220703097
86,2,1924,242.11999511718798
87,3,1924,415.059997558594
88,4,1924,357.049987792969
89,5,1924,398.869995117188
90,6,1924,354.880004882812
91,7,1924,134.660003662109
92,8,1924,116.80999755859399
93,9,1924,88.80999755859379
94,10,1924,146.11999511718798
95,11,1924,279.410003662109
96,12,1924,90.9199981689453
97,1,1925,216.050003051758
98,2,1925,187.899993896484
99,3,1925,179.080001831055
100,4,1925,326.279998779297
101,5,1925,335.42999267578097
102,6,1925,378.929992675781
103,7,1925,149.679992675781
104,8,1925,82.3499984741211
105,9,1925,45.88000106811521
106,10,1925,33.4000015258789
107,11,1925,62.1100006103516
108,12,1925,172.639999389648
109,1,1926,261.359985351562
110,2,1926,195.27000427246102
111,3,1926,234.660003662109
112,4,1926,286.519989013672
113,5,1926,307.359985351562
114,6,1926,218.929992675781
115,7,1926,115.37000274658199
116,8,1926,121.949996948242
117,9,1926,149.660003662109
118,10,1926,47.20999908447271
119,11,1926,111.470001220703
120,12,1926,194.080001831055
121,1,1927,184.059997558594
122,2,1927,186.169998168945
123,3,1927,240.649993896484
124,4,1927,321.970001220703
125,5,1927,245.36999511718798
126,6,1927,204.660003662109
127,7,1927,125.62999725341801
128,8,1927,38.3899993896484
129,9,1927,113.400001525879
130,10,1927,78.8000030517578
131,11,1927,173.389999389648
132,12,1927,236.429992675781
133,1,1928,228.919998168945
134,2,1928,205.00999450683602
135,3,1928,299.790008544922
136,4,1928,252.52000427246102
137,5,1928,162.009994506836
138,6,1928,191.580001831055
139,7,1928,126.66999816894501
140,8,1928,85.2799987792969
141,9,1928,33.4599990844727
142,10,1928,70.6999969482422
143,11,1928,130.919998168945
144,12,1928,157.889999389648
145,1,1929,193.720001220703
146,2,1929,174.559997558594
147,3,1929,265.119995117188
148,4,1929,295.029998779297
149,5,1929,245.279998779297
150,6,1929,203.539993286133
151,7,1929,185.419998168945
152,8,1929,76.0800018310547
153,9,1929,114.19000244140601
154,10,1929,51.5200004577637
155,11,1929,136.100006103516
156,12,1929,188.559997558594
157,1,1930,141.02999877929702
158,2,1930,212.080001831055
159,3,1930,338.029998779297
160,4,1930,356.429992675781
161,5,1930,271.660003662109
162,6,1930,192.710006713867
163,7,1930,55.8199996948242
