1570	30.8	2.98	110.8	100	1587	369.5	33.95	50120	81.76	183.9	8.1276	76.345	-6.8944	7.9711	74.181	-5.8806	1431	22.2	5	101.4	100	1427	369.8	34.65	62070	81.41	210	6.9491	62.026	-6.478	6.6218	62.144	-5.5172	1997	26.7	5.09	99.7	100	1993	368.7	34.32	85260	72.3	312.4	7.0823	66.746	-6.7246	6.8033	66.653	-5.6695	2025	37.7	5.09	112.9	100	2036	361.6	34.19	54990	88.6	210.4	7.4851	68.301	-6.0353	7.4348	69.065	-5.461	1699	29.7	3.54	110.4	100	1709	357.6	34.22	59000	76.32	222.6	7.3263	64.883	-6.6575	6.9567	64.857	-5.5734	1881	20.9	4.96	93.5	100	1868	360.7	34.01	58770	84.91	212.3	6.9553	71.78	-5.8044	6.8104	71.764	-5.0751	2313	35.6	6.71	109.1	100	2320	360.7	34.01	59300	76.22	212.6	9.3291	89.074	-5.8685	8.8983	89.159	-4.8694	1862	45.2	3.35	119.5	100	1883	354.1	34.1	61360	84.07	221.5	8.7767	78.941	-6.2033	8.5581	78.284	-5.3618	1745	17.6	4.84	85.6	100	1726	354.6	34.17	61530	77.94	224	6.4753	66.298	-6.1034	6.3143	65.448	-5.3707	1987	28.4	5.05	101.7	100	1987	354.9	34.04	61150	80.49	221.1	7.8048	76.679	-6.0742	7.5855	76.549	-5.1733	279
2024	41.8	4.15	114.6	99	2038	371.9	34.12	71390	73.71	279	9.7081	90.936	-5.6443	9.5299	90.926	-4.9787	1570	30.8	2.98	110.8	100	1587	369.5	33.95	50120	81.76	183.9	8.1276	76.345	-6.8944	7.9711	74.181	-5.8806	1431	22.2	5	101.4	100	1427	369.8	34.65	62070	81.41	210	6.9491	62.026	-6.478	6.6218	62.144	-5.5172	1997	26.7	5.09	99.7	100	1993	368.7	34.32	85260	72.3	312.4	7.0823	66.746	-6.7246	6.8033	66.653	-5.6695	2025	37.7	5.09	112.9	100	2036	361.6	34.19	54990	88.6	210.4	7.4851	68.301	-6.0353	7.4348	69.065	-5.461	1699	29.7	3.54	110.4	100	1709	357.6	34.22	59000	76.32	222.6	7.3263	64.883	-6.6575	6.9567	64.857	-5.5734	1881	20.9	4.96	93.5	100	1868	360.7	34.01	58770	84.91	212.3	6.9553	71.78	-5.8044	6.8104	71.764	-5.0751	2313	35.6	6.71	109.1	100	2320	360.7	34.01	59300	76.22	212.6	9.3291	89.074	-5.8685	8.8983	89.159	-4.8694	1862	45.2	3.35	119.5	100	1883	354.1	34.1	61360	84.07	221.5	8.7767	78.941	-6.2033	8.5581	78.284	-5.3618	1745	17.6	4.84	85.6	100	1726	354.6	34.17	61530	77.94	224	6.4753	66.298	-6.1034	6.3143	65.448	-5.3707	305.9
2133	29.3	6.07	99.9	100	2130	372.8	34.9	82900	65.62	305.9	7.675	74.984	-6.3046	7.4165	75.226	-5.2246	2024	41.8	4.15	114.6	99	2038	371.9	34.12	71390	73.71	279	9.7081	90.936	-5.6443	9.5299	90.926	-4.9787	1570	30.8	2.98	110.8	100	1587	369.5	33.95	50120	81.76	183.9	8.1276	76.345	-6.8944	7.9711	74.181	-5.8806	1431	22.2	5	101.4	100	1427	369.8	34.65	62070	81.41	210	6.9491	62.026	-6.478	6.6218	62.144	-5.5172	1997	26.7	5.09	99.7	100	1993	368.7	34.32	85260	72.3	312.4	7.0823	66.746	-6.7246	6.8033	66.653	-5.6695	2025	37.7	5.09	112.9	100	2036	361.6	34.19	54990	88.6	210.4	7.4851	68.301	-6.0353	7.4348	69.065	-5.461	1699	29.7	3.54	110.4	100	1709	357.6	34.22	59000	76.32	222.6	7.3263	64.883	-6.6575	6.9567	64.857	-5.5734	1881	20.9	4.96	93.5	100	1868	360.7	34.01	58770	84.91	212.3	6.9553	71.78	-5.8044	6.8104	71.764	-5.0751	2313	35.6	6.71	109.1	100	2320	360.7	34.01	59300	76.22	212.6	9.3291	89.074	-5.8685	8.8983	89.159	-4.8694	1862	45.2	3.35	119.5	100	1883	354.1	34.1	61360	84.07	221.5	8.7767	78.941	-6.2033	8.5581	78.284	-5.3618	238.1
2346	23.8	5.18	90.2	100	2336	372.3	34.92	63080	88.39	238.1	8.8244	91.304	-5.3864	8.4706	90.717	-4.6326	2133	29.3	6.07	99.9	100	2130	372.8	34.9	82900	65.62	305.9	7.675	74.984	-6.3046	7.4165	75.226	-5.2246	2024	41.8	4.15	114.6	99	2038	371.9	34.12	71390	73.71	279	9.7081	90.936	-5.6443	9.5299	90.926	-4.9787	1570	30.8	2.98	110.8	100	1587	369.5	33.95	50120	81.76	183.9	8.1276	76.345	-6.8944	7.9711	74.181	-5.8806	1431	22.2	5	101.4	100	1427	369.8	34.65	62070	81.41	210	6.9491	62.026	-6.478	6.6218	62.144	-5.5172	1997	26.7	5.09	99.7	100	1993	368.7	34.32	85260	72.3	312.4	7.0823	66.746	-6.7246	6.8033	66.653	-5.6695	2025	37.7	5.09	112.9	100	2036	361.6	34.19	54990	88.6	210.4	7.4851	68.301	-6.0353	7.4348	69.065	-5.461	1699	29.7	3.54	110.4	100	1709	357.6	34.22	59000	76.32	222.6	7.3263	64.883	-6.6575	6.9567	64.857	-5.5734	1881	20.9	4.96	93.5	100	1868	360.7	34.01	58770	84.91	212.3	6.9553	71.78	-5.8044	6.8104	71.764	-5.0751	2313	35.6	6.71	109.1	100	2320	360.7	34.01	59300	76.22	212.6	9.3291	89.074	-5.8685	8.8983	89.159	-4.8694	239
2031	30.6	5.83	100.7	100	2031	369.4	34.45	63500	82.18	239	7.7427	74.005	-6.1119	7.4432	74.015	-5.1322	2346	23.8	5.18	90.2	100	2336	372.3	34.92	63080	88.39	238.1	8.8244	91.304	-5.3864	8.4706	90.717	-4.6326	2133	29.3	6.07	99.9	100	2130	372.8	34.9	82900	65.62	305.9	7.675	74.984	-6.3046	7.4165	75.226	-5.2246	2024	41.8	4.15	114.6	99	2038	371.9	34.12	71390	73.71	279	9.7081	90.936	-5.6443	9.5299	90.926	-4.9787	1570	30.8	2.98	110.8	100	1587	369.5	33.95	50120	81.76	183.9	8.1276	76.345	-6.8944	7.9711	74.181	-5.8806	1431	22.2	5	101.4	100	1427	369.8	34.65	62070	81.41	210	6.9491	62.026	-6.478	6.6218	62.144	-5.5172	1997	26.7	5.09	99.7	100	1993	368.7	34.32	85260	72.3	312.4	7.0823	66.746	-6.7246	6.8033	66.653	-5.6695	2025	37.7	5.09	112.9	100	2036	361.6	34.19	54990	88.6	210.4	7.4851	68.301	-6.0353	7.4348	69.065	-5.461	1699	29.7	3.54	110.4	100	1709	357.6	34.22	59000	76.32	222.6	7.3263	64.883	-6.6575	6.9567	64.857	-5.5734	1881	20.9	4.96	93.5	100	1868	360.7	34.01	58770	84.91	212.3	6.9553	71.78	-5.8044	6.8104	71.764	-5.0751	297.6
2063	31.3	4.88	102.3	100	2065	368.1	34.67	80740	78.37	297.6	7.7041	74.422	-5.6239	7.5752	75.055	-5.0332	2031	30.6	5.83	100.7	100	2031	369.4	34.45	63500	82.18	239	7.7427	74.005	-6.1119	7.4432	74.015	-5.1322	2346	23.8	5.18	90.2	100	2336	372.3	34.92	63080	88.39	238.1	8.8244	91.304	-5.3864	8.4706	90.717	-4.6326	2133	29.3	6.07	99.9	100	2130	372.8	34.9	82900	65.62	305.9	7.675	74.984	-6.3046	7.4165	75.226	-5.2246	2024	41.8	4.15	114.6	99	2038	371.9	34.12	71390	73.71	279	9.7081	90.936	-5.6443	9.5299	90.926	-4.9787	1570	30.8	2.98	110.8	100	1587	369.5	33.95	50120	81.76	183.9	8.1276	76.345	-6.8944	7.9711	74.181	-5.8806	1431	22.2	5	101.4	100	1427	369.8	34.65	62070	81.41	210	6.9491	62.026	-6.478	6.6218	62.144	-5.5172	1997	26.7	5.09	99.7	100	1993	368.7	34.32	85260	72.3	312.4	7.0823	66.746	-6.7246	6.8033	66.653	-5.6695	2025	37.7	5.09	112.9	100	2036	361.6	34.19	54990	88.6	210.4	7.4851	68.301	-6.0353	7.4348	69.065	-5.461	1699	29.7	3.54	110.4	100	1709	357.6	34.22	59000	76.32	222.6	7.3263	64.883	-6.6575	6.9567	64.857	-5.5734	261.1
1376	12.5	4.99	81.5	100	1345	367	34.7	72770	78.17	261.1	6.1791	63.093	-6.4008	6.0357	63.067	-5.4958	2063	31.3	4.88	102.3	100	2065	368.1	34.67	80740	78.37	297.6	7.7041	74.422	-5.6239	7.5752	75.055	-5.0332	2031	30.6	5.83	100.7	100	2031	369.4	34.45	63500	82.18	239	7.7427	74.005	-6.1119	7.4432	74.015	-5.1322	2346	23.8	5.18	90.2	100	2336	372.3	34.92	63080	88.39	238.1	8.8244	91.304	-5.3864	8.4706	90.717	-4.6326	2133	29.3	6.07	99.9	100	2130	372.8	34.9	82900	65.62	305.9	7.675	74.984	-6.3046	7.4165	75.226	-5.2246	2024	41.8	4.15	114.6	99	2038	371.9	34.12	71390	73.71	279	9.7081	90.936	-5.6443	9.5299	90.926	-4.9787	1570	30.8	2.98	110.8	100	1587	369.5	33.95	50120	81.76	183.9	8.1276	76.345	-6.8944	7.9711	74.181	-5.8806	1431	22.2	5	101.4	100	1427	369.8	34.65	62070	81.41	210	6.9491	62.026	-6.478	6.6218	62.144	-5.5172	1997	26.7	5.09	99.7	100	1993	368.7	34.32	85260	72.3	312.4	7.0823	66.746	-6.7246	6.8033	66.653	-5.6695	2025	37.7	5.09	112.9	100	2036	361.6	34.19	54990	88.6	210.4	7.4851	68.301	-6.0353	7.4348	69.065	-5.461	244.1
1226	36.3	2.58	121.6	100	1255	363.2	34.76	65140	86.54	244.1	7.9243	79.739	-6.7518	7.4678	78.289	-5.7541	1376	12.5	4.99	81.5	100	1345	367	34.7	72770	78.17	261.1	6.1791	63.093	-6.4008	6.0357	63.067	-5.4958	2063	31.3	4.88	102.3	100	2065	368.1	34.67	80740	78.37	297.6	7.7041	74.422	-5.6239	7.5752	75.055	-5.0332	2031	30.6	5.83	100.7	100	2031	369.4	34.45	63500	82.18	239	7.7427	74.005	-6.1119	7.4432	74.015	-5.1322	2346	23.8	5.18	90.2	100	2336	372.3	34.92	63080	88.39	238.1	8.8244	91.304	-5.3864	8.4706	90.717	-4.6326	2133	29.3	6.07	99.9	100	2130	372.8	34.9	82900	65.62	305.9	7.675	74.984	-6.3046	7.4165	75.226	-5.2246	2024	41.8	4.15	114.6	99	2038	371.9	34.12	71390	73.71	279	9.7081	90.936	-5.6443	9.5299	90.926	-4.9787	1570	30.8	2.98	110.8	100	1587	369.5	33.95	50120	81.76	183.9	8.1276	76.345	-6.8944	7.9711	74.181	-5.8806	1431	22.2	5	101.4	100	1427	369.8	34.65	62070	81.41	210	6.9491	62.026	-6.478	6.6218	62.144	-5.5172	1997	26.7	5.09	99.7	100	1993	368.7	34.32	85260	72.3	312.4	7.0823	66.746	-6.7246	6.8033	66.653	-5.6695	201.7
1784	27.9	4.95	104.1	100	1793	366.1	34.66	56480	86.88	201.7	7.5956	71.437	-6.2682	7.3641	71.061	-5.5322	1226	36.3	2.58	121.6	100	1255	363.2	34.76	65140	86.54	244.1	7.9243	79.739	-6.7518	7.4678	78.289	-5.7541	1376	12.5	4.99	81.5	100	1345	367	34.7	72770	78.17	261.1	6.1791	63.093	-6.4008	6.0357	63.067	-5.4958	2063	31.3	4.88	102.3	100	2065	368.1	34.67	80740	78.37	297.6	7.7041	74.422	-5.6239	7.5752	75.055	-5.0332	2031	30.6	5.83	100.7	100	2031	369.4	34.45	63500	82.18	239	7.7427	74.005	-6.1119	7.4432	74.015	-5.1322	2346	23.8	5.18	90.2	100	2336	372.3	34.92	63080	88.39	238.1	8.8244	91.304	-5.3864	8.4706	90.717	-4.6326	2133	29.3	6.07	99.9	100	2130	372.8	34.9	82900	65.62	305.9	7.675	74.984	-6.3046	7.4165	75.226	-5.2246	2024	41.8	4.15	114.6	99	2038	371.9	34.12	71390	73.71	279	9.7081	90.936	-5.6443	9.5299	90.926	-4.9787	1570	30.8	2.98	110.8	100	1587	369.5	33.95	50120	81.76	183.9	8.1276	76.345	-6.8944	7.9711	74.181	-5.8806	1431	22.2	5	101.4	100	1427	369.8	34.65	62070	81.41	210	6.9491	62.026	-6.478	6.6218	62.144	-5.5172	238.3
2108	42.1	5.01	117.4	100	2124	370.4	34.3	59740	77.29	238.3	9.4842	85.578	-6.1247	9.0734	86.335	-5.1334	1784	27.9	4.95	104.1	100	1793	366.1	34.66	56480	86.88	201.7	7.5956	71.437	-6.2682	7.3641	71.061	-5.5322	1226	36.3	2.58	121.6	100	1255	363.2	34.76	65140	86.54	244.1	7.9243	79.739	-6.7518	7.4678	78.289	-5.7541	1376	12.5	4.99	81.5	100	1345	367	34.7	72770	78.17	261.1	6.1791	63.093	-6.4008	6.0357	63.067	-5.4958	2063	31.3	4.88	102.3	100	2065	368.1	34.67	80740	78.37	297.6	7.7041	74.422	-5.6239	7.5752	75.055	-5.0332	2031	30.6	5.83	100.7	100	2031	369.4	34.45	63500	82.18	239	7.7427	74.005	-6.1119	7.4432	74.015	-5.1322	2346	23.8	5.18	90.2	100	2336	372.3	34.92	63080	88.39	238.1	8.8244	91.304	-5.3864	8.4706	90.717	-4.6326	2133	29.3	6.07	99.9	100	2130	372.8	34.9	82900	65.62	305.9	7.675	74.984	-6.3046	7.4165	75.226	-5.2246	2024	41.8	4.15	114.6	99	2038	371.9	34.12	71390	73.71	279	9.7081	90.936	-5.6443	9.5299	90.926	-4.9787	1570	30.8	2.98	110.8	100	1587	369.5	33.95	50120	81.76	183.9	8.1276	76.345	-6.8944	7.9711	74.181	-5.8806	228
