nobs,month,year,prec
1,1,1917,317.970001220703
2,2,1917,298.55999755859403
3,3,1917,283.480010986328
4,4,1917,149.419998168945
5,5,1917,212.0
6,6,1917,287.420013427734
7,7,1917,131.889999389648
8,8,1917,267.57000732421903
9,9,1917,312.279998779297
10,10,1917,225.410003662109
11,11,1917,249.710006713867
12,12,1917,162.179992675781
13,1,1918,412.98001098632795
14,2,1918,379.869995117188
15,3,1918,247.02000427246102
16,4,1918,299.730010986328
17,5,1918,280.619995117188
18,6,1918,203.550003051758
19,7,1918,140.47000122070298
20,8,1918,215.690002441406
21,9,1918,224.88000488281202
22,10,1918,167.899993896484
23,11,1918,216.339996337891
24,12,1918,193.089996337891
25,1,1919,121.029998779297
26,2,1919,139.860000610352
27,3,1919,224.910003662109
28,4,1919,199.660003662109
29,5,1919,210.22999572753898
30,6,1919,221.36999511718798
31,7,1919,172.74000549316398
32,8,1919,150.190002441406
33,9,1919,168.949996948242
34,10,1919,232.47999572753898
35,11,1919,250.00999450683602
36,12,1919,352.690002441406
37,1,1920,258.119995117188
38,2,1920,189.360000610352
39,3,1920,154.570007324219
40,4,1920,340.739990234375
41,5,1920,261.579986572266
42,6,1920,291.980010986328
43,7,1920,162.020004272461
44,8,1920,278.95001220703097
45,9,1920,250.22999572753898
46,10,1920,182.919998168945
47,11,1920,236.25
48,12,1920,221.149993896484
49,1,1921,182.559997558594
50,2,1921,282.45001220703097
51,3,1921,329.0
52,4,1921,257.869995117188
53,5,1921,285.100006103516
54,6,1921,203.580001831055
55,7,1921,204.029998779297
56,8,1921,184.52000427246102
57,9,1921,349.309997558594
58,10,1921,237.61999511718798
59,11,1921,301.910003662109
60,12,1921,229.27000427246102
61,1,1922,245.61999511718798
62,2,1922,160.179992675781
63,3,1922,244.889999389648
64,4,1922,270.980010986328
65,5,1922,251.77000427246102
66,6,1922,195.47999572753898
67,7,1922,225.550003051758
68,8,1922,360.29000854492205
69,9,1922,207.99000549316398
70,10,1922,275.30999755859403
71,11,1922,268.670013427734
72,12,1922,175.360000610352
73,1,1923,329.920013427734
74,2,1923,128.88000488281202
75,3,1923,203.279998779297
76,4,1923,255.139999389648
77,5,1923,299.54998779296903
78,6,1923,341.209991455078
79,7,1923,175.649993896484
80,8,1923,216.660003662109
81,9,1923,231.75999450683602
82,10,1923,145.320007324219
83,11,1923,262.540008544922
84,12,1923,267.670013427734
85,1,1924,181.460006713867
86,2,1924,172.25999450683602
87,3,1924,317.730010986328
88,4,1924,250.220001220703
89,5,1924,334.350006103516
90,6,1924,305.92999267578097
91,7,1924,161.399993896484
92,8,1924,217.22999572753898
93,9,1924,232.639999389648
94,10,1924,225.529998779297
95,11,1924,247.22999572753898
96,12,1924,309.880004882812
97,1,1925,280.010009765625
98,2,1925,272.94000244140597
99,3,1925,307.79998779296903
100,4,1925,370.049987792969
101,5,1925,185.00999450683602
102,6,1925,229.75999450683602
103,7,1925,138.580001831055
104,8,1925,203.100006103516
105,9,1925,227.850006103516
106,10,1925,319.25
107,11,1925,248.570007324219
108,12,1925,249.97999572753898
109,1,1926,222.539993286133
110,2,1926,126.209999084473
111,3,1926,101.83000183105499
112,4,1926,196.029998779297
113,5,1926,330.140014648438
114,6,1926,250.429992675781
115,7,1926,258.0
116,8,1926,201.63000488281202
117,9,1926,261.459991455078
118,10,1926,390.420013427734
119,11,1926,256.730010986328
120,12,1926,285.45001220703097
121,1,1927,210.410003662109
122,2,1927,180.550003051758
123,3,1927,343.029998779297
124,4,1927,297.829986572266
125,5,1927,345.79000854492205
126,6,1927,320.890014648438
127,7,1927,158.240005493164
128,8,1927,187.600006103516
129,9,1927,264.480010986328
130,10,1927,256.519989013672
131,11,1927,277.55999755859403
132,12,1927,270.269989013672
133,1,1928,338.79998779296903
134,2,1928,219.940002441406
135,3,1928,234.169998168945
136,4,1928,344.23001098632795
137,5,1928,223.330001831055
138,6,1928,272.80999755859403
139,7,1928,156.100006103516
140,8,1928,268.279998779297
141,9,1928,282.079986572266
142,10,1928,380.01998901367205
143,11,1928,228.309997558594
144,12,1928,174.25
145,1,1929,139.75
146,2,1929,174.63000488281205
147,3,1929,231.449996948242
148,4,1929,254.970001220703
149,5,1929,387.149993896484
150,6,1929,296.67999267578097
151,7,1929,175.100006103516
152,8,1929,209.059997558594
153,9,1929,325.79998779296903
154,10,1929,277.739990234375
155,11,1929,336.149993896484
156,12,1929,169.580001831055
157,1,1930,181.74000549316398
158,2,1930,80.0
159,3,1930,174.100006103516
160,4,1930,256.32000732421903
161,5,1930,304.480010986328
162,6,1930,228.13000488281202
163,7,1930,164.070007324219
164,8,1930,133.77999877929702
165,9,1930,224.779998779297
166,10,1930,220.139999389648
167,11,1930,279.54998779296903
168,12,1930,260.25
169,1,1931,159.740005493164
170,2,1931,188.899993896484
171,3,1931,232.589996337891
172,4,1931,187.77000427246102
173,5,1931,230.0
174,6,1931,247.669998168945
175,7,1931,272.589996337891
176,8,1931,221.050003051758
177,9,1931,290.94000244140597
178,10,1931,393.27999877929705
179,11,1931,346.589996337891
180,12,1931,197.789993286133
181,1,1932,184.889999389648
182,2,1932,161.100006103516
183,3,1932,278.5
184,4,1932,277.760009765625
185,5,1932,368.829986572266
186,6,1932,287.670013427734
187,7,1932,283.850006103516
188,8,1932,215.160003662109
189,9,1932,301.489990234375
190,10,1932,323.589996337891
191,11,1932,430.119995117188
192,12,1932,370.29000854492205
193,1,1933,261.260009765625
194,2,1933,147.509994506836
195,3,1933,256.07000732421903
196,4,1933,245.559997558594
197,5,1933,290.07000732421903
198,6,1933,241.600006103516
199,7,1933,270.04998779296903
200,8,1933,253.949996948242
201,9,1933,374.440002441406
202,10,1933,374.23001098632795
203,11,1933,377.910003662109
204,12,1933,281.45001220703097
205,1,1934,386.440002441406
206,2,1934,300.92999267578097
207,3,1934,297.019989013672
208,4,1934,258.609985351562
209,5,1934,258.850006103516
210,6,1934,349.27999877929705
211,7,1934,191.75999450683602
212,8,1934,319.329986572266
213,9,1934,199.38000488281202
214,10,1934,278.05999755859403
215,11,1934,260.399993896484
216,12,1934,270.579986572266
217,1,1935,120.110000610352
218,2,1935,147.02999877929702
219,3,1935,254.190002441406
220,4,1935,227.919998168945
221,5,1935,269.480010986328
222,6,1935,329.19000244140597
223,7,1935,252.99000549316398
224,8,1935,156.089996337891
225,9,1935,173.889999389648
226,10,1935,354.440002441406
227,11,1935,377.589996337891
228,12,1935,191.169998168945
229,1,1936,242.11999511718798
230,2,1936,97.97000122070308
231,3,1936,230.399993896484
232,4,1936,308.579986572266
233,5,1936,305.790008544922
234,6,1936,169.210006713867
235,7,1936,225.02000427246102
236,8,1936,210.410003662109
237,9,1936,176.039993286133
238,10,1936,225.570007324219
239,11,1936,223.399993896484
240,12,1936,177.88000488281205
241,1,1937,280.30999755859403
242,2,1937,169.339996337891
243,3,1937,264.920013427734
244,4,1937,377.29000854492205
245,5,1937,267.54998779296903
246,6,1937,235.830001831055
247,7,1937,229.850006103516
248,8,1937,175.460006713867
249,9,1937,221.61999511718798
250,10,1937,295.339996337891
251,11,1937,215.889999389648
252,12,1937,237.100006103516
253,1,1938,153.559997558594
254,2,1938,114.08000183105499
255,3,1938,322.25
256,4,1938,331.94000244140597
257,5,1938,339.80999755859403
258,6,1938,211.639999389648
259,7,1938,160.169998168945
260,8,1938,225.86999511718798
261,9,1938,192.149993896484
262,10,1938,210.529998779297
263,11,1938,256.579986572266
264,12,1938,303.380004882812
265,1,1939,190.309997558594
266,2,1939,139.75
267,3,1939,134.860000610352
268,4,1939,269.029998779297
269,5,1939,279.130004882812
270,6,1939,187.050003051758
271,7,1939,205.309997558594
272,8,1939,212.589996337891
273,9,1939,255.149993896484
274,10,1939,197.080001831055
275,11,1939,213.440002441406
276,12,1939,381.700012207031
277,1,1940,202.350006103516
278,2,1940,222.470001220703
279,3,1940,142.690002441406
280,4,1940,220.710006713867
281,5,1940,233.179992675781
282,6,1940,249.330001831055
283,7,1940,160.729995727539
284,8,1940,281.540008544922
285,9,1940,175.47999572753898
286,10,1940,144.729995727539
287,11,1940,179.22999572753898
288,12,1940,142.61999511718798
289,1,1941,155.190002441406
290,2,1941,120.459999084473
291,3,1941,167.160003662109
292,4,1941,182.970001220703
293,5,1941,222.720001220703
294,6,1941,247.529998779297
295,7,1941,219.389999389648
296,8,1941,184.919998168945
297,9,1941,255.809997558594
298,10,1941,281.519989013672
299,11,1941,203.039993286133
300,12,1941,268.839996337891
301,1,1942,222.300003051758
302,2,1942,183.910003662109
303,3,1942,214.860000610352
304,4,1942,234.669998168945
305,5,1942,264.510009765625
306,6,1942,233.539993286133
307,7,1942,211.13000488281202
308,8,1942,223.970001220703
309,9,1942,232.710006713867
310,10,1942,253.839996337891
311,11,1942,257.959991455078
312,12,1942,241.360000610352
313,1,1943,222.080001831055
314,2,1943,184.470001220703
315,3,1943,215.470001220703
316,4,1943,234.429992675781
317,5,1943,264.269989013672
318,6,1943,232.410003662109
319,7,1943,210.850006103516
320,8,1943,224.27000427246102
321,9,1943,232.63000488281202
322,10,1943,254.24000549316398
323,11,1943,257.420013427734
324,12,1943,241.63000488281202
325,1,1944,222.399993896484
326,2,1944,184.179992675781
