nobs,month,year,prec
1,1,1917,42.02000045776371
2,2,1917,2.33999991416931
3,3,1917,85.0400009155273
4,4,1917,17.3600006103516
5,5,1917,22.3199996948242
6,6,1917,45.0900001525879
7,7,1917,24.100000381469695
8,8,1917,15.8299999237061
9,9,1917,39.939998626709
10,10,1917,4.71999979019165
11,11,1917,2.2699999809265097
12,12,1917,10.869999885559098
13,1,1918,9.96000003814697
14,2,1918,123.16000366210899
15,3,1918,41.4000015258789
16,4,1918,8.84000015258789
17,5,1918,20.979999542236303
18,6,1918,38.2400016784668
19,7,1918,29.3700008392334
20,8,1918,8.340000152587889
21,9,1918,12.0100002288818
22,10,1918,0.779999971389771
23,11,1918,0.8299999833106991
24,12,1918,3.6500000953674303
25,1,1919,3.58999991416931
26,2,1919,7.05999994277954
27,3,1919,3.49000000953674
28,4,1919,4.3600001335144
29,5,1919,11.880000114440902
30,6,1919,31.25
31,7,1919,21.6700000762939
32,8,1919,25.5499992370605
33,9,1919,2.77999997138977
34,10,1919,1.82000005245209
35,11,1919,10.6899995803833
36,12,1919,4.98999977111816
37,1,1920,0.6899999976158139
38,2,1920,6.53000020980835
39,3,1920,50.790000915527294
40,4,1920,25.7999992370605
41,5,1920,18.5599994659424
42,6,1920,20.2600002288818
43,7,1920,16.8899993896484
44,8,1920,38.6100006103516
45,9,1920,2.8499999046325697
46,10,1920,0.6000000238418579
47,11,1920,5.3600001335144
48,12,1920,3.0699999332428
49,1,1921,4.78000020980835
50,2,1921,28.399999618530305
51,3,1921,19.4200000762939
52,4,1921,2.5999999046325697
53,5,1921,112.819999694824
54,6,1921,29.530000686645497
55,7,1921,9.13000011444092
56,8,1921,32.6399993896484
57,9,1921,4.3600001335144
58,10,1921,5.28999996185303
59,11,1921,0.349999994039536
60,12,1921,8.39000034332275
61,1,1922,0.44999998807907104
62,2,1922,6.46999979019165
63,3,1922,31.1800003051758
64,4,1922,18.4200000762939
65,5,1922,39.029998779296896
66,6,1922,15.4399995803833
67,7,1922,17.9699993133545
68,8,1922,20.2199993133545
69,9,1922,1.54999995231628
70,10,1922,0.509999990463257
71,11,1922,0.540000021457672
72,12,1922,1.10000002384186
73,1,1923,45.70999908447271
74,2,1923,24.1800003051758
75,3,1923,9.71000003814697
76,4,1923,79.38999938964841
77,5,1923,5.34999990463257
78,6,1923,52.970001220703104
79,7,1923,79.7799987792969
80,8,1923,3.70000004768372
81,9,1923,1.33000004291534
82,10,1923,0.509999990463257
83,11,1923,0.330000013113022
84,12,1923,7.699999809265139
85,1,1924,2.7899999618530296
86,2,1924,2.17000007629395
87,3,1924,9.89000034332275
88,4,1924,3.70000004768372
89,5,1924,11.6499996185303
90,6,1924,22.6800003051758
91,7,1924,29.1700000762939
92,8,1924,8.77999973297119
93,9,1924,6.01999998092651
94,10,1924,1.91999995708466
95,11,1924,3.14000010490417
96,12,1924,0.8600000143051151
97,1,1925,62.1599998474121
98,2,1925,25.1200008392334
99,3,1925,33.3600006103516
100,4,1925,1.71000003814697
101,5,1925,20.3899993896484
102,6,1925,13.479999542236301
103,7,1925,6.55999994277954
104,8,1925,12.9099998474121
105,9,1925,9.72999954223633
106,10,1925,2.16000008583069
107,11,1925,2.08999991416931
108,12,1925,10.5500001907349
109,1,1926,7.48000001907349
110,2,1926,23.6700000762939
111,3,1926,75.6500015258789
112,4,1926,19.6900005340576
113,5,1926,41.52000045776371
114,6,1926,11.3400001525879
115,7,1926,24.5400009155273
116,8,1926,2.4000000953674303
117,9,1926,2.22000002861023
118,10,1926,2.07999992370605
119,11,1926,14.960000038147
120,12,1926,6.05999994277954
121,1,1927,2.82999992370605
122,2,1927,19.909999847412106
123,3,1927,102.33999633789101
124,4,1927,2.58999991416931
125,5,1927,21.3999996185303
126,6,1927,78.7600021362305
127,7,1927,33.2900009155273
128,8,1927,4.8000001907348615
129,9,1927,8.22000026702881
130,10,1927,4.019999980926509
131,11,1927,1.11000001430511
132,12,1927,12.0500001907349
133,1,1928,21.9599990844727
134,2,1928,8.89999961853027
135,3,1928,6.400000095367429
136,4,1928,6.30999994277954
137,5,1928,49.38000106811521
138,6,1928,14.8199996948242
139,7,1928,27.2299995422363
140,8,1928,2.99000000953674
141,9,1928,3.67000007629395
142,10,1928,0.980000019073486
143,11,1928,2.7699999809265097
144,12,1928,15.6800003051758
145,1,1929,3.20000004768372
146,2,1929,68.8000030517578
147,3,1929,43.38000106811521
148,4,1929,1.42999994754791
149,5,1929,98.5500030517578
150,6,1929,25.3299999237061
151,7,1929,3.7899999618530296
152,8,1929,24.2900009155273
153,9,1929,0.870000004768372
154,10,1929,1.12000000476837
155,11,1929,1.25999999046326
156,12,1929,0.769999980926514
157,1,1930,0.8500000238418579
158,2,1930,8.25
159,3,1930,49.75
160,4,1930,17.979999542236303
161,5,1930,13.1999998092651
162,6,1930,29.4799995422363
163,7,1930,8.52000045776367
164,8,1930,34.919998168945305
165,9,1930,4.03999996185303
166,10,1930,10.4200000762939
167,11,1930,0.379999995231628
168,12,1930,6.5
169,1,1931,4.76000022888184
170,2,1931,19.3999996185303
171,3,1931,12.75
172,4,1931,25.760000228881804
173,5,1931,34.220001220703104
174,6,1931,44.310001373290994
175,7,1931,41.6100006103516
176,8,1931,22.030000686645497
177,9,1931,4.349999904632569
178,10,1931,6.650000095367429
179,11,1931,4.65000009536743
180,12,1931,7.98000001907349
181,1,1932,23.8700008392334
182,2,1932,1.9700000286102304
183,3,1932,20.0599994659424
184,4,1932,25.219999313354503
185,5,1932,36.439998626709
186,6,1932,20.5799999237061
187,7,1932,12.270000457763699
188,8,1932,46.1500015258789
189,9,1932,1.79999995231628
190,10,1932,2.67000007629395
191,11,1932,0.479999989271164
192,12,1932,75.4800033569336
193,1,1933,2.01999998092651
194,2,1933,4.17000007629395
195,3,1933,121.66999816894501
196,4,1933,1.88999998569489
197,5,1933,36.720001220703104
198,6,1933,20.3999996185303
199,7,1933,28.100000381469695
200,8,1933,32.9000015258789
201,9,1933,4.280000209808351
202,10,1933,3.1800000667572004
203,11,1933,0.939999997615814
204,12,1933,7.32999992370605
205,1,1934,25.7299995422363
206,2,1934,5.51999998092651
207,3,1934,83.3199996948242
208,4,1934,86.80999755859379
209,5,1934,6.40999984741211
210,6,1934,29.649999618530305
211,7,1934,22.7299995422363
212,8,1934,10.4300003051758
213,9,1934,5.53000020980835
214,10,1934,1.04999995231628
215,11,1934,2.38000011444092
216,12,1934,1.17999994754791
217,1,1935,43.1100006103516
218,2,1935,16.7099990844727
219,3,1935,31.1100006103516
220,4,1935,5.90999984741211
221,5,1935,1.25999999046326
222,6,1935,4.84999990463257
223,7,1935,10.3800001144409
224,8,1935,22.0
225,9,1935,0.980000019073486
226,10,1935,1.41999995708466
227,11,1935,0.30000001192092896
228,12,1935,0.730000019073486
229,1,1936,15.3999996185303
230,2,1936,2.27999997138977
231,3,1936,5.48000001907349
232,4,1936,10.890000343322802
233,5,1936,4.67999982833862
234,6,1936,25.9200000762939
235,7,1936,5.65999984741211
236,8,1936,3.82999992370605
237,9,1936,1.71000003814697
238,10,1936,1.03999996185303
239,11,1936,0.44999998807907104
240,12,1936,15.970000267028801
241,1,1937,15.3999996185303
242,2,1937,22.3700008392334
243,3,1937,10.460000038147
244,4,1937,32.5699996948242
245,5,1937,36.0999984741211
246,6,1937,14.0900001525879
247,7,1937,2.02999997138977
248,8,1937,12.0500001907349
249,9,1937,3.5
250,10,1937,1.80999994277954
251,11,1937,2.4600000381469704
252,12,1937,7.610000133514402
253,1,1938,10.270000457763699
254,2,1938,19.979999542236303
255,3,1938,21.1299991607666
256,4,1938,8.27999973297119
257,5,1938,5.78000020980835
258,6,1938,11.890000343322802
259,7,1938,26.190000534057607
260,8,1938,6.48000001907349
261,9,1938,1.14999997615814
262,10,1938,0.6299999952316279
263,11,1938,3.1500000953674303
264,12,1938,6.03999996185303
265,1,1939,16.379999160766598
266,2,1939,22.260000228881804
267,3,1939,8.64000034332275
268,4,1939,4.280000209808351
269,5,1939,13.479999542236301
270,6,1939,31.239999771118196
271,7,1939,24.440000534057607
272,8,1939,14.5500001907349
273,9,1939,0.879999995231628
274,10,1939,6.07999992370605
275,11,1939,18.7800006866455
276,12,1939,5.400000095367429
277,1,1940,7.96999979019165
278,2,1940,1.36000001430511
279,3,1940,1.39999997615814
280,4,1940,4.84000015258789
281,5,1940,12.210000038147
282,6,1940,4.63000011444092
283,7,1940,46.7700004577637
284,8,1940,2.44000005722046
285,9,1940,2.11999988555908
286,10,1940,2.03999996185303
287,11,1940,2.11999988555908
288,12,1940,0.959999978542328
289,1,1941,1.20000004768372
290,2,1941,18.8199996948242
291,3,1941,6.0
292,4,1941,23.3299999237061
293,5,1941,18.020000457763697
294,6,1941,28.5200004577637
295,7,1941,24.9599990844727
296,8,1941,46.25
297,9,1941,2.17000007629395
298,10,1941,1.75
299,11,1941,7.92999982833862
300,12,1941,35.3800010681152
301,1,1942,46.310001373290994
302,2,1942,54.720001220703104
303,3,1942,71.0
304,4,1942,16.5
305,5,1942,60.1100006103516
306,6,1942,47.4799995422363
307,7,1942,21.649999618530305
308,8,1942,12.3000001907349
309,9,1942,1.64999997615814
310,10,1942,0.6600000262260439
311,11,1942,0.34000000357627896
312,12,1942,6.92999982833862
313,1,1943,1.95000004768372
314,2,1943,46.8199996948242
315,3,1943,34.6399993896484
316,4,1943,4.34000015258789
317,5,1943,6.05999994277954
318,6,1943,27.8700008392334
319,7,1943,5.76999998092651
320,8,1943,5.26000022888184
321,9,1943,2.07999992370605
322,10,1943,0.959999978542328
323,11,1943,4.349999904632569
324,12,1943,3.22000002861023
325,1,1944,0.3100000023841861
326,2,1944,1.1599999666214
327,3,1944,2.25999999046326
328,4,1944,6.360000133514402
329,5,1944,10.770000457763699
330,6,1944,8.26000022888184
331,7,1944,29.4300003051758
332,8,1944,16.4899997711182
333,9,1944,0.870000004768372
334,10,1944,1.19000005722046
335,11,1944,2.75999999046326
336,12,1944,1.01999998092651
337,1,1945,2.32999992370605
338,2,1945,140.509994506836
339,3,1945,8.23999977111816
340,4,1945,2.66000008583069
341,5,1945,5.650000095367429
342,6,1945,95.4800033569336
343,7,1945,29.7000007629395
344,8,1945,17.8600006103516
345,9,1945,4.17000007629395
346,10,1945,6.42999982833862
347,11,1945,7.55999994277954
348,12,1945,5.32000017166138
349,1,1946,10.0500001907349
350,2,1946,19.5599994659424
351,3,1946,16.7099990844727
352,4,1946,14.460000038147
353,5,1946,9.0
354,6,1946,18.2800006866455
355,7,1946,32.169998168945305
356,8,1946,6.03000020980835
357,9,1946,0.6600000262260439
