nobs,month,year,prec
1,1,1917,252.52000427246102
2,2,1917,227.199996948242
3,3,1917,315.0
4,4,1917,220.36999511718798
5,5,1917,276.70001220703097
6,6,1917,237.050003051758
7,7,1917,207.779998779297
8,8,1917,209.13000488281202
9,9,1917,186.100006103516
10,10,1917,229.419998168945
11,11,1917,217.070007324219
12,12,1917,247.039993286133
13,1,1918,228.779998779297
14,2,1918,249.52000427246102
15,3,1918,273.619995117188
16,4,1918,268.920013427734
17,5,1918,277.17999267578097
18,6,1918,247.919998168945
19,7,1918,196.820007324219
20,8,1918,182.47999572753898
21,9,1918,179.070007324219
22,10,1918,219.0
23,11,1918,203.210006713867
24,12,1918,242.22999572753898
25,1,1919,276.95001220703097
26,2,1919,268.17999267578097
27,3,1919,274.089996337891
28,4,1919,250.399993896484
29,5,1919,330.69000244140597
30,6,1919,222.410003662109
31,7,1919,219.289993286133
32,8,1919,178.690002441406
33,9,1919,211.660003662109
34,10,1919,198.61999511718798
35,11,1919,212.139999389648
36,12,1919,269.75
37,1,1920,194.63000488281202
38,2,1920,261.170013427734
39,3,1920,355.79000854492205
40,4,1920,259.92999267578097
41,5,1920,299.209991455078
42,6,1920,240.919998168945
43,7,1920,209.690002441406
44,8,1920,188.289993286133
45,9,1920,187.24000549316398
46,10,1920,211.580001831055
47,11,1920,218.539993286133
48,12,1920,261.510009765625
49,1,1921,269.25
50,2,1921,169.169998168945
51,3,1921,174.679992675781
52,4,1921,321.660003662109
53,5,1921,278.829986572266
54,6,1921,219.00999450683602
55,7,1921,238.070007324219
56,8,1921,215.070007324219
57,9,1921,209.789993286133
58,10,1921,214.699996948242
59,11,1921,373.51998901367205
60,12,1921,279.42999267578097
61,1,1922,278.04998779296903
62,2,1922,267.69000244140597
63,3,1922,316.480010986328
64,4,1922,228.309997558594
65,5,1922,222.460006713867
66,6,1922,187.429992675781
67,7,1922,203.589996337891
68,8,1922,164.25
69,9,1922,202.089996337891
70,10,1922,246.399993896484
71,11,1922,287.149993896484
72,12,1922,164.240005493164
73,1,1923,210.059997558594
74,2,1923,178.86999511718795
75,3,1923,254.0
76,4,1923,113.66999816894501
77,5,1923,226.889999389648
78,6,1923,174.289993286133
79,7,1923,217.699996948242
80,8,1923,161.080001831055
81,9,1923,189.320007324219
82,10,1923,185.710006713867
83,11,1923,192.25999450683602
84,12,1923,212.99000549316398
85,1,1924,453.359985351562
86,2,1924,312.869995117188
87,3,1924,293.67999267578097
88,4,1924,388.760009765625
89,5,1924,279.45001220703097
90,6,1924,284.350006103516
91,7,1924,228.86999511718798
92,8,1924,179.460006713867
93,9,1924,152.13000488281202
94,10,1924,230.190002441406
95,11,1924,247.429992675781
96,12,1924,279.130004882812
97,1,1925,198.139999389648
98,2,1925,271.709991455078
99,3,1925,326.230010986328
100,4,1925,289.859985351562
101,5,1925,273.649993896484
102,6,1925,317.04998779296903
103,7,1925,163.520004272461
104,8,1925,158.839996337891
105,9,1925,257.739990234375
106,10,1925,220.199996948242
107,11,1925,275.609985351562
108,12,1925,253.830001831055
109,1,1926,419.010009765625
110,2,1926,310.230010986328
111,3,1926,503.850006103516
112,4,1926,295.079986572266
113,5,1926,247.039993286133
114,6,1926,182.11999511718798
115,7,1926,150.339996337891
116,8,1926,146.38000488281202
117,9,1926,199.910003662109
118,10,1926,230.350006103516
119,11,1926,269.619995117188
120,12,1926,249.589996337891
121,1,1927,305.970001220703
122,2,1927,219.160003662109
123,3,1927,218.00999450683602
124,4,1927,193.350006103516
125,5,1927,333.019989013672
126,6,1927,178.75999450683602
127,7,1927,172.13000488281205
128,8,1927,261.05999755859403
129,9,1927,130.009994506836
130,10,1927,138.02999877929702
131,11,1927,244.38000488281202
132,12,1927,171.830001831055
133,1,1928,174.779998779297
134,2,1928,178.25999450683602
135,3,1928,183.339996337891
136,4,1928,192.559997558594
137,5,1928,275.540008544922
138,6,1928,138.270004272461
139,7,1928,145.070007324219
140,8,1928,201.88000488281202
141,9,1928,118.849998474121
142,10,1928,246.22999572753898
143,11,1928,132.610000610352
144,12,1928,223.929992675781
145,1,1929,335.19000244140597
146,2,1929,203.949996948242
147,3,1929,113.779998779297
148,4,1929,218.61999511718798
149,5,1929,212.639999389648
150,6,1929,164.36999511718798
151,7,1929,218.50999450683602
152,8,1929,291.42999267578097
153,9,1929,127.279998779297
154,10,1929,264.82000732421903
155,11,1929,305.339996337891
156,12,1929,274.339996337891
157,1,1930,543.690002441406
158,2,1930,227.559997558594
159,3,1930,326.790008544922
160,4,1930,141.389999389648
161,5,1930,363.02999877929705
162,6,1930,214.77000427246102
163,7,1930,75.3000030517578
164,8,1930,71.379997253418
165,9,1930,111.16000366210899
166,10,1930,167.27999877929702
167,11,1930,202.24000549316398
168,12,1930,256.790008544922
169,1,1931,222.710006713867
170,2,1931,259.67999267578097
171,3,1931,178.11999511718795
172,4,1931,201.809997558594
173,5,1931,290.07000732421903
174,6,1931,210.49000549316398
175,7,1931,190.830001831055
176,8,1931,129.839996337891
177,9,1931,261.899993896484
178,10,1931,243.110000610352
179,11,1931,204.61999511718798
180,12,1931,237.210006713867
181,1,1932,288.290008544922
182,2,1932,292.859985351562
183,3,1932,107.599998474121
