nobs,month,year,prec
1,1,1917,110.16999816894501
2,2,1917,5.78999996185303
3,3,1917,118.69000244140601
4,4,1917,6.17999982833862
5,5,1917,9.31999969482422
6,6,1917,13.289999961853
7,7,1917,3.0999999046325697
8,8,1917,2.58999991416931
9,9,1917,4.84000015258789
10,10,1917,1.73000001907349
11,11,1917,1.03999996185303
12,12,1917,9.84000015258789
13,1,1918,53.8199996948242
14,2,1918,214.86999511718798
15,3,1918,6.400000095367429
16,4,1918,5.09999990463257
17,5,1918,42.6500015258789
18,6,1918,23.719999313354503
19,7,1918,7.65999984741211
20,8,1918,5.19000005722046
21,9,1918,0.8100000023841859
22,10,1918,0.280000001192093
23,11,1918,1.01999998092651
24,12,1918,7.099999904632571
25,1,1919,12.880000114440902
26,2,1919,6.84000015258789
27,3,1919,5.869999885559079
28,4,1919,2.75999999046326
29,5,1919,4.69000005722046
30,6,1919,8.159999847412111
31,7,1919,1.16999995708466
32,8,1919,18.2600002288818
33,9,1919,0.680000007152557
34,10,1919,0.870000004768372
35,11,1919,7.03999996185303
36,12,1919,20.229999542236303
37,1,1920,8.14000034332275
38,2,1920,36.029998779296896
39,3,1920,61.0999984741211
40,4,1920,41.6300010681152
41,5,1920,6.21999979019165
42,6,1920,24.219999313354503
43,7,1920,8.07999992370605
44,8,1920,12.7600002288818
45,9,1920,12.119999885559098
46,10,1920,0.4099999964237209
47,11,1920,2.66000008583069
48,12,1920,10.6199998855591
49,1,1921,5.84000015258789
50,2,1921,114.41999816894501
51,3,1921,34.1500015258789
52,4,1921,5.34000015258789
53,5,1921,60.619998931884794
54,6,1921,3.86999988555908
55,7,1921,11.279999732971199
56,8,1921,43.88000106811521
57,9,1921,0.30000001192092896
58,10,1921,3.3699998855590803
59,11,1921,2.88000011444092
60,12,1921,7.110000133514402
61,1,1922,3.25999999046326
62,2,1922,17.9699993133545
63,3,1922,41.0
64,4,1922,9.38000011444092
65,5,1922,36.3400001525879
66,6,1922,6.21999979019165
67,7,1922,4.3899998664856
68,8,1922,7.889999866485598
69,9,1922,0.560000002384186
70,10,1922,1.48000001907349
71,11,1922,1.02999997138977
72,12,1922,2.95000004768372
73,1,1923,84.7300033569336
74,2,1923,51.029998779296896
75,3,1923,33.7900009155273
76,4,1923,89.3300018310547
77,5,1923,8.85999965667725
78,6,1923,15.5100002288818
79,7,1923,34.060001373291
80,8,1923,3.5399999618530296
81,9,1923,2.85999989509583
82,10,1923,0.439999997615814
83,11,1923,3.4000000953674303
84,12,1923,10.5799999237061
85,1,1924,7.69000005722046
86,2,1924,3.9000000953674303
87,3,1924,5.230000019073491
88,4,1924,6.17999982833862
89,5,1924,5.75
90,6,1924,24.469999313354503
91,7,1924,20.090000152587894
92,8,1924,0.6499999761581421
93,9,1924,1.4700000286102302
94,10,1924,0.430000007152557
95,11,1924,2.60999989509583
96,12,1924,2.66000008583069
97,1,1925,55.5
98,2,1925,35.470001220703104
99,3,1925,16.0499992370605
100,4,1925,4.8899998664856
101,5,1925,43.5099983215332
102,6,1925,7.380000114440921
103,7,1925,1.03999996185303
104,8,1925,2.09999990463257
105,9,1925,1.6599999666213998
106,10,1925,0.610000014305115
107,11,1925,4.150000095367431
108,12,1925,19.9899997711182
109,1,1926,20.2900009155273
110,2,1926,38.6300010681152
111,3,1926,63.5
112,4,1926,3.9600000381469695
