nobs,month,year,prec
1,1,1917,394.97000122070295
2,2,1917,343.850006103516
3,3,1917,311.790008544922
4,4,1917,276.609985351562
5,5,1917,237.74000549316398
6,6,1917,176.850006103516
7,7,1917,111.360000610352
8,8,1917,78.5100021362305
9,9,1917,71.0299987792969
10,10,1917,81.629997253418
11,11,1917,170.570007324219
12,12,1917,340.350006103516
13,1,1918,394.97000122070295
14,2,1918,343.859985351562
15,3,1918,311.769989013672
16,4,1918,276.600006103516
17,5,1918,237.75
18,6,1918,176.839996337891
19,7,1918,111.33999633789101
20,8,1918,78.5
21,9,1918,71.0199966430664
22,10,1918,81.620002746582
23,11,1918,170.559997558594
24,12,1918,340.339996337891
25,1,1919,394.97000122070295
26,2,1919,343.850006103516
27,3,1919,311.779998779297
28,4,1919,276.609985351562
29,5,1919,237.74000549316398
30,6,1919,176.839996337891
31,7,1919,111.349998474121
32,8,1919,78.5
33,9,1919,71.0199966430664
34,10,1919,81.620002746582
35,11,1919,170.559997558594
36,12,1919,340.339996337891
37,1,1920,394.97000122070295
38,2,1920,343.850006103516
39,3,1920,311.779998779297
40,4,1920,276.600006103516
41,5,1920,237.72999572753898
42,6,1920,176.839996337891
43,7,1920,111.33999633789101
44,8,1920,78.5100021362305
45,9,1920,71.0199966430664
46,10,1920,81.620002746582
47,11,1920,170.559997558594
48,12,1920,340.339996337891
49,1,1921,394.98001098632795
50,2,1921,343.859985351562
51,3,1921,311.779998779297
52,4,1921,276.619995117188
53,5,1921,237.720001220703
54,6,1921,176.839996337891
55,7,1921,111.349998474121
56,8,1921,78.5
57,9,1921,71.0299987792969
58,10,1921,81.629997253418
59,11,1921,170.559997558594
60,12,1921,340.339996337891
61,1,1922,394.97000122070295
62,2,1922,343.850006103516
63,3,1922,311.779998779297
64,4,1922,276.609985351562
65,5,1922,237.72999572753898
66,6,1922,176.839996337891
67,7,1922,111.33999633789101
68,8,1922,78.5
69,9,1922,71.0199966430664
70,10,1922,81.629997253418
71,11,1922,170.559997558594
72,12,1922,340.339996337891
73,1,1923,394.97000122070295
74,2,1923,343.850006103516
75,3,1923,311.779998779297
76,4,1923,276.589996337891
77,5,1923,237.74000549316398
78,6,1923,176.830001831055
79,7,1923,111.33999633789101
80,8,1923,78.5
81,9,1923,71.0199966430664
82,10,1923,81.620002746582
83,11,1923,170.559997558594
84,12,1923,340.339996337891
85,1,1924,394.95999145507795
86,2,1924,343.859985351562
87,3,1924,311.779998779297
88,4,1924,276.600006103516
89,5,1924,237.75
90,6,1924,176.839996337891
