EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 10-05-2011
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://eca.knmi.nl

01-05 STAID       : Station identifier
07-46 STATIONNAME : Station Name
48-87 COUNTRYNAME : Country Name
89-97 LAT         : Latitude in degrees:minutes:seconds (+:North, -:South)
99-109 LON        : Longitude in degrees:minutes:seconds (+:East, -:West)
111-115 HGT       : Station elevation in meters 

STAID,STATIONNAME                             ,COUNTRYNAME                             ,LAT      ,LON       ,HGT
63   ,METHONI                                 ,GREECE                                  ,+36:49:59,+021:42:00,  52
64   ,BUDAPEST                                ,HUNGARY                                 ,+47:30:39,+019:01:41, 153
65   ,DALATANGI                               ,ICELAND                                 ,+65:16:00,-013:34:59,   9
66   ,REYKJAVIK                               ,ICELAND                                 ,+64:07:59,-021:54:00,  52
67   ,STYKKISHOLMUR                           ,ICELAND                                 ,+65:04:24,-022:43:39,  15
68   ,TEIGARHORN                              ,ICELAND                                 ,+64:40:59,-015:13:39,  23
69   ,VESTMANNAEYJAR                          ,ICELAND                                 ,+63:24:00,-020:16:59, 118
70   ,ALEKSANDROV GAJ                         ,RUSSIAN FEDERATION                      ,+50:09:00,+048:33:00,  23
71   ,ARHANGELSK                              ,RUSSIAN FEDERATION                      ,+64:30:00,+040:43:59,   8
72   ,ARMAVIR                                 ,RUSSIAN FEDERATION                      ,+44:58:59,+041:07:00, 159
73   ,ASTRAKAN                                ,RUSSIAN FEDERATION                      ,+46:16:59,+048:03:00, -23
74   ,ELATMA                                  ,RUSSIAN FEDERATION                      ,+54:57:00,+041:46:00, 136
75   ,HOSEDA HARD                             ,RUSSIAN FEDERATION                      ,+67:04:59,+059:22:59,  84
76   ,IZEVSK                                  ,RUSSIAN FEDERATION                      ,+56:49:59,+053:27:00, 155
77   ,KALININGRAD                             ,RUSSIAN FEDERATION                      ,+54:43:00,+020:33:00,  21
78   ,KANDALAKSA                              ,RUSSIAN FEDERATION                      ,+67:09:00,+032:21:00,  26
79   ,KEM-PORT                                ,RUSSIAN FEDERATION                      ,+64:58:59,+034:48:59,   7
80   ,KURSK                                   ,RUSSIAN FEDERATION                      ,+51:46:00,+036:10:00, 247
81   ,KOJNAS                                  ,RUSSIAN FEDERATION                      ,+64:45:00,+047:39:00,  63
82   ,KOSTROMA                                ,RUSSIAN FEDERATION                      ,+57:43:59,+040:51:00, 125
83   ,KOTLAS                                  ,RUSSIAN FEDERATION                      ,+61:13:59,+046:43:00,  56
84   ,KRASNOUFIMSK                            ,RUSSIAN FEDERATION                      ,+56:39:00,+057:46:59, 205
85   ,ST. PETERSBURG                          ,RUSSIAN FEDERATION                      ,+59:58:00,+030:18:00,   3
86   ,MURMANSK                                ,RUSSIAN FEDERATION                      ,+68:58:00,+033:02:59,  57
87   ,MOSCOW                                  ,RUSSIAN FEDERATION                      ,+55:49:59,+037:37:00, 156
88   ,NARJAN MAR                              ,RUSSIAN FEDERATION                      ,+67:37:59,+053:01:59,   5
89   ,UFA                                     ,RUSSIAN FEDERATION                      ,+54:43:00,+055:49:59, 104
90   ,ONEGA                                   ,RUSSIAN FEDERATION                      ,+63:54:00,+038:07:00,  13
91   ,ORENBURG                                ,RUSSIAN FEDERATION                      ,+51:40:59,+055:06:00, 117
92   ,PAVELETZ                                ,RUSSIAN FEDERATION                      ,+53:46:59,+039:15:00, 209
93   ,PETROZAWODSK                            ,RUSSIAN FEDERATION                      ,+61:49:00,+034:16:00, 110
94   ,PECHORA                                 ,RUSSIAN FEDERATION                      ,+65:07:00,+057:06:00,  53
95   ,PSKOV                                   ,RUSSIAN FEDERATION                      ,+57:49:00,+028:19:59,  43
96   ,SARATOW                                 ,RUSSIAN FEDERATION                      ,+51:34:00,+046:01:59, 156
97   ,SMOLENSK                                ,RUSSIAN FEDERATION                      ,+54:45:00,+032:04:00, 239
98   ,SORTAVALA                               ,RUSSIAN FEDERATION                      ,+61:43:00,+030:43:00,  17
99   ,SYKTYVKAR                               ,RUSSIAN FEDERATION                      ,+61:40:00,+050:52:00, 116
100  ,TAMBOV                                  ,RUSSIAN FEDERATION                      ,+52:43:59,+041:28:00, 160
101  ,TROICKO-PECHERSKOE                      ,RUSSIAN FEDERATION                      ,+62:42:00,+056:12:00, 135
102  ,UST TZILMA                              ,RUSSIAN FEDERATION                      ,+65:25:59,+052:16:00,  78
103  ,VELIKIE LUKI                            ,RUSSIAN FEDERATION                      ,+56:21:00,+030:37:00,  97
104  ,VYTEGRA                                 ,RUSSIAN FEDERATION                      ,+61:01:00,+036:27:00,  55
105  ,VOLOGDA                                 ,RUSSIAN FEDERATION                      ,+59:19:00,+039:55:00, 125
106  ,HAMMER ODDE FYR                         ,DENMARK                                 ,+55:18:00,+014:46:59,  11
107  ,VESTERVIG                               ,DENMARK                                 ,+56:46:00,+008:19:00,  18
109  ,NORDBY (FANO)                           ,DENMARK                                 ,+55:27:00,+008:24:00,   4
113  ,TRANEBJERG                              ,DENMARK                                 ,+55:51:00,+010:36:00,  11
116  ,KOEBENHAVN: LANDBOHOJSKOLEN-1           ,DENMARK                                 ,+55:40:59,+012:31:59,   9
117  ,HAMMER ODDE FYR-1                       ,DENMARK                                 ,+55:18:00,+014:46:59,  11
118  ,SANDVIG                                 ,DENMARK                                 ,+55:16:59,+014:46:59,  13
119  ,KOEBENHAVN: LANDBOHOJSKOLEN             ,DENMARK                                 ,+55:40:59,+012:31:59,   9
120  ,BIRR                                    ,IRELAND                                 ,+53:05:25,-007:52:35,  70
121  ,DUBLIN PHOENIX PARK                     ,IRELAND                                 ,+53:21:50,-006:19:09,  49
