EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 10-05-2011
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://eca.knmi.nl

01-05 STAID       : Station identifier
07-46 STATIONNAME : Station Name
48-87 COUNTRYNAME : Country Name
89-97 LAT         : Latitude in degrees:minutes:seconds (+:North, -:South)
99-109 LON        : Longitude in degrees:minutes:seconds (+:East, -:West)
111-115 HGT       : Station elevation in meters 

STAID,STATIONNAME                             ,COUNTRYNAME                             ,LAT      ,LON       ,HGT
601  ,VLIELAND                                ,NETHERLANDS                             ,+53:14:24,+004:55:14,   4
602  ,HOEK VAN HOLLAND                        ,NETHERLANDS                             ,+51:59:27,+004:07:18,  12
603  ,LEEUWARDEN                              ,NETHERLANDS                             ,+53:13:23,+005:45:06,   0
604  ,WOENSDRECHT                             ,NETHERLANDS                             ,+51:26:52,+004:20:30,  15
605  ,FREISTADT                               ,AUSTRIA                                 ,+48:30:00,+014:30:00, 548
606  ,EISENSTADT-NORDOST                      ,AUSTRIA                                 ,+47:51:00,+016:31:48, 184
607  ,REICHENAU-RAX                           ,AUSTRIA                                 ,+47:40:48,+015:49:48, 486
608  ,FELDKIRCH                               ,AUSTRIA                                 ,+47:16:12,+009:36:00, 440
609  ,LANDECK                                 ,AUSTRIA                                 ,+47:07:48,+010:33:00, 798
610  ,BRENNER                                 ,AUSTRIA                                 ,+47:00:00,+011:30:00,1450
611  ,RAURIS                                  ,AUSTRIA                                 ,+47:13:12,+012:58:48, 931
612  ,KLAGENFURT                              ,AUSTRIA                                 ,+46:39:00,+014:19:48, 447
613  ,FEUERKOGEL                              ,AUSTRIA                                 ,+47:49:12,+013:43:48,1618
614  ,VERKHNEDVINSK                           ,BELARUS                                 ,+55:49:12,+027:57:00, 117
617  ,LYNTUPY                                 ,BELARUS                                 ,+55:06:00,+026:18:00, 209
621  ,LEPEL                                   ,BELARUS                                 ,+54:54:00,+028:42:00, 174
622  ,VITEBSK                                 ,BELARUS                                 ,+55:10:12,+030:07:48, 166
629  ,ORSA                                    ,BELARUS                                 ,+54:30:00,+030:24:00, 192
631  ,GRODNO;AIRPORT                          ,BELARUS                                 ,+53:40:48,+023:49:48, 117
632  ,LIDA                                    ,BELARUS                                 ,+53:54:00,+025:18:00, 147
638  ,MOGILEV;AMSG                            ,BELARUS                                 ,+53:54:00,+030:19:12, 152
641  ,KOSTUKOVICI                             ,BELARUS                                 ,+53:24:00,+032:06:00, 167
645  ,BARANOVICI                              ,BELARUS                                 ,+53:06:00,+026:00:00, 194
649  ,BOBRUJSK                                ,BELARUS                                 ,+53:06:00,+029:18:00, 165
653  ,BREST                                   ,BELARUS                                 ,+52:07:00,+023:40:59, 146
655  ,PINSK;AMSG                              ,BELARUS                                 ,+52:07:12,+026:07:48, 146
656  ,ZITKOVICI                               ,BELARUS                                 ,+52:12:00,+027:54:00, 138
657  ,MOZYR                                   ,BELARUS                                 ,+52:00:00,+029:12:00, 173
658  ,GOMEL                                   ,BELARUS                                 ,+52:24:00,+031:00:00, 139
662  ,HOLESOV                                 ,CZECH REPUBLIC                          ,+49:19:14,+017:34:10, 222
663  ,BRNO (TURANY) AIRPORT                   ,CZECH REPUBLIC                          ,+49:09:11,+016:41:20, 241
664  ,CHURANOV                                ,CZECH REPUBLIC                          ,+49:04:05,+013:36:54,1118
665  ,HRADEC KRALOVE; NOVY                    ,CZECH REPUBLIC                          ,+50:10:33,+015:50:18, 278
666  ,SVRATOUCH                               ,CZECH REPUBLIC                          ,+49:44:06,+016:02:00, 737
667  ,CHEB                                    ,CZECH REPUBLIC                          ,+50:04:06,+012:23:27, 483
668  ,MOSNOV                                  ,CZECH REPUBLIC                          ,+49:41:53,+018:07:18, 250
669  ,PRIBYSLAV                               ,CZECH REPUBLIC                          ,+49:34:58,+015:45:45, 530
670  ,LIBEREC; AIRPORT                        ,CZECH REPUBLIC                          ,+50:46:12,+015:01:27, 398
671  ,FSN ALBORG                              ,DENMARK                                 ,+57:06:00,+009:51:00,   3
672  ,FSN KARUP                               ,DENMARK                                 ,+56:18:00,+009:07:12,  52
673  ,TIRSTRUP                                ,DENMARK                                 ,+56:19:12,+010:37:48,  25
674  ,FSN SKRYDSTRUP                          ,DENMARK                                 ,+55:13:48,+009:16:12,  41
675  ,ODENSE LUFTHAVN                         ,DENMARK                                 ,+55:28:48,+010:19:48,  15
676  ,ROSNAES FYR                             ,DENMARK                                 ,+55:45:00,+010:52:12,  14
677  ,BORNHOLMS LUFTHAVN                      ,DENMARK                                 ,+55:04:12,+014:45:00,  15
679  ,PAKRI                                   ,ESTONIA                                 ,+59:24:00,+024:00:00,  15
681  ,TALLINN                                 ,ESTONIA                                 ,+59:22:59,+024:34:59,  34
682  ,KUNDA                                   ,ESTONIA                                 ,+59:30:00,+026:36:00,   3
686  ,RISTNA                                  ,ESTONIA                                 ,+58:54:00,+022:06:00,   9
688  ,HEL-TERMAA                              ,ESTONIA                                 ,+58:54:00,+023:00:00,   4
690  ,VIRTSU                                  ,ESTONIA                                 ,+58:36:00,+023:30:00,   8
691  ,KUUSIKU                                 ,ESTONIA                                 ,+58:58:12,+024:43:48,  51
692  ,TYRI                                    ,ESTONIA                                 ,+58:48:00,+025:24:00,  65
693  ,VAIKEMAARJA                             ,ESTONIA                                 ,+59:06:00,+026:12:00, 123
696  ,SWINOUJSCIE                             ,POLAND                                  ,+53:55:00,+014:13:59,   6
697  ,KIHNU                                   ,ESTONIA                                 ,+58:06:00,+023:54:00,   4
698  ,AJNAZI                                  ,LATVIA                                  ,+57:54:00,+024:24:00,  16
699  ,PJARNU                                  ,ESTONIA                                 ,+58:22:00,+024:30:00,   8
700  ,PIIKKIO YLTOINEN                        ,FINLAND                                 ,+60:22:48,+022:33:00,   6
701  ,SALO KARKA                              ,FINLAND                                 ,+60:22:12,+023:06:00,   3
702  ,LOHJA PORLA                             ,FINLAND                                 ,+60:15:00,+024:03:00,  37
703  ,PORVOO JARNBOLE                         ,FINLAND                                 ,+60:25:48,+025:40:12,  17
704  ,PORI AIRPORT                            ,FINLAND                                 ,+61:27:00,+021:46:48,  10
705  ,MIETOINEN SAARI                         ,FINLAND                                 ,+60:37:48,+021:52:12,  13
706  ,TURKU AIRPORT                           ,FINLAND                                 ,+60:30:00,+022:16:12,  47
707  ,KOKEMAKI PEIPOHJA HY                    ,FINLAND                                 ,+61:16:12,+022:15:00,  38
708  ,JOKIOINEN OBSERVATOR                    ,FINLAND                                 ,+60:49:12,+023:30:00, 104
709  ,HATTULA LEPAA                           ,FINLAND                                 ,+61:07:48,+024:19:48,  91
710  ,UTTI AIRPORT/VALKEAL                    ,FINLAND                                 ,+60:54:00,+026:55:48,  99
711  ,ANJALANKOSKI ANJALA                     ,FINLAND                                 ,+60:40:48,+026:48:00,  33
712  ,HEINOLA PLAANI                          ,FINLAND                                 ,+61:12:00,+026:01:48, 100
713  ,KANKAANPAA NIINISALO                    ,FINLAND                                 ,+61:49:48,+022:28:12, 124
714  ,KURU LANSI-AURE                         ,FINLAND                                 ,+61:57:00,+023:22:48, 175
715  ,VARKAUS KAPYKANGAS                      ,FINLAND                                 ,+62:18:00,+027:51:00,  91
716  ,TOHMAJARVI KEMIE                        ,FINLAND                                 ,+62:13:48,+030:21:00,  90
717  ,KAUHAVA AIRPORT                         ,FINLAND                                 ,+63:06:00,+023:01:48,  42
718  ,AHTARI MYLLYMAKI                        ,FINLAND                                 ,+62:31:48,+024:13:12, 157
719  ,ALAJARVI MOKSY                          ,FINLAND                                 ,+63:03:00,+024:16:48, 202
720  ,VESANTO KK                              ,FINLAND                                 ,+62:57:00,+026:24:00, 127
721  ,KUOPIO AIRPORT/SIILI                    ,FINLAND                                 ,+63:01:12,+027:48:00,  94
722  ,MAANINKA HALOLA                         ,FINLAND                                 ,+63:09:00,+027:19:12,  88
723  ,JOENSUU AIRPORT/LIPE                    ,FINLAND                                 ,+62:39:00,+029:36:00, 118
724  ,HAAPAVESI KOTITALOUS                    ,FINLAND                                 ,+64:09:00,+025:25:48, 112
725  ,KAJAANI AIRPORT                         ,FINLAND                                 ,+64:16:12,+027:40:12, 134
726  ,VIEREMA KAARAKKALA                      ,FINLAND                                 ,+63:49:48,+027:13:12, 207
727  ,OULU AIRPORT/OULUNSA                    ,FINLAND                                 ,+64:55:48,+025:22:12,  12
728  ,RUUKKI REVONLAHTI                       ,FINLAND                                 ,+64:40:48,+025:04:48,  48
729  ,MUHOS KK LAITASAARI                     ,FINLAND                                 ,+64:49:11,+025:58:48,  22
730  ,VAALA PELSO                             ,FINLAND                                 ,+64:30:00,+026:28:12, 115
731  ,TAIVALKOSKI KK                          ,FINLAND                                 ,+65:34:48,+028:15:00, 209
732  ,KUUSAMO AIRPORT                         ,FINLAND                                 ,+65:58:48,+029:13:12, 264
733  ,ROVANIEMI AIRPORT/RO                    ,FINLAND                                 ,+66:34:11,+025:49:48, 195
734  ,MUONIO KK ALAMUONIO                     ,FINLAND                                 ,+67:58:12,+023:40:12, 254
735  ,INARI/IVALO AIRPORT                     ,FINLAND                                 ,+68:36:59,+027:25:12, 144
736  ,ABBEVILLE                               ,FRANCE                                  ,+50:07:48,+001:49:48,  77
737  ,LILLE                                   ,FRANCE                                  ,+50:33:36,+003:06:00,  52
738  ,CAEN                                    ,FRANCE                                  ,+49:10:48,-000:27:00,  67
739  ,REIMS                                   ,FRANCE                                  ,+49:18:00,+004:01:48,  99
740  ,ALENCON                                 ,FRANCE                                  ,+48:27:00,+000:06:36, 144
741  ,NANCY                                   ,FRANCE                                  ,+48:40:48,+006:12:36, 217
742  ,NANTES                                  ,FRANCE                                  ,+47:09:36,-001:36:00,  27
743  ,ANGERS                                  ,FRANCE                                  ,+47:30:00,-000:33:36,  58
744  ,ORLEANS                                 ,FRANCE                                  ,+47:58:48,+001:45:00, 125
745  ,DIJON                                   ,FRANCE                                  ,+47:22:48,+004:55:48,   0
746  ,LANGRES                                 ,FRANCE                                  ,+47:49:48,+005:18:36, 467
747  ,BESANCON                                ,FRANCE                                  ,+47:15:00,+005:58:48, 309
748  ,LA-ROCHELLE                             ,FRANCE                                  ,+46:09:00,-001:09:00,   4
749  ,POITIERS                                ,FRANCE                                  ,+46:34:48,+000:18:36, 120
750  ,CLERMONT-FERRAND                        ,FRANCE                                  ,+45:46:48,+003:09:36, 331
751  ,LYON-BRON                               ,FRANCE                                  ,+45:42:36,+004:57:00, 201
752  ,OLSZTYN                                 ,POLAND                                  ,+53:46:00,+020:25:00, 133
753  ,AGEN                                    ,FRANCE                                  ,+44:10:48,+000:36:00,  60
754  ,CHANIA                                  ,GREECE                                  ,+35:30:00,+024:01:59, 151
755  ,EMBRUN                                  ,FRANCE                                  ,+44:33:36,+006:30:00, 876
756  ,TARBES                                  ,FRANCE                                  ,+43:11:12,-000:00:18, 360
757  ,NICE                                    ,FRANCE                                  ,+43:39:00,+007:12:00,  10
758  ,BASTIA                                  ,FRANCE                                  ,+42:33:00,+009:28:48,  12
762  ,BEAUVAIS-TILLE                          ,FRANCE                                  ,+49:26:48,+002:07:41,  89
765  ,CAP-DE-LA-HEVE                          ,FRANCE                                  ,+49:30:36,+000:04:12, 100
766  ,CARCASSONNE                             ,FRANCE                                  ,+43:12:51,+002:18:36, 126
768  ,CHARTRES-CHAMPHOL                       ,FRANCE                                  ,+48:27:42,+001:30:11, 155
769  ,CHATEAUROUX                             ,FRANCE                                  ,+46:51:36,+001:43:18, 155
775  ,ILE DE GROIX                            ,FRANCE                                  ,+47:39:11,-003:30:06,  42
777  ,LE MANS                                 ,FRANCE                                  ,+47:56:48,+000:11:42,  51
779  ,SLUBICE                                 ,POLAND                                  ,+52:21:00,+014:36:00,  21
784  ,METZ-FRESCATY                           ,FRANCE                                  ,+49:04:23,+006:07:32, 190
786  ,MONTELIMAR                              ,FRANCE                                  ,+44:34:54,+004:44:17,  73
788  ,NIMES                                   ,FRANCE                                  ,+43:51:29,+004:24:24,  59
789  ,CHIOS                                   ,GREECE                                  ,+38:19:59,+026:07:59,   4
793  ,PTE DE LA HAGUE                         ,FRANCE                                  ,+49:43:36,-001:56:24,   3
797  ,SETE                                    ,FRANCE                                  ,+43:23:53,+003:41:30,  80
800  ,TOULOUSE-BLAGNAC                        ,FRANCE                                  ,+43:37:23,+001:22:41, 151
803  ,VICHY-CHARMEIL                          ,FRANCE                                  ,+46:10:00,+003:24:00, 249
805  ,NORDERNEY (WST)                         ,GERMANY                                 ,+53:43:12,+007:09:00,  11
806  ,LINGEN (WST)                            ,GERMANY                                 ,+52:31:12,+007:18:00,  22
807  ,SANKT PETER-ORDING                      ,GERMANY                                 ,+54:19:48,+008:36:00,   5
808  ,BREMERHAVEN (WST)                       ,GERMANY                                 ,+53:31:48,+008:34:48,   7
809  ,CUXHAVEN (WST)                          ,GERMANY                                 ,+53:52:12,+008:42:59,   5
810  ,OSNABRUECK (AWST)                       ,GERMANY                                 ,+52:15:00,+008:03:00,  95
811  ,GOETTINGEN (WST)                        ,GERMANY                                 ,+51:30:00,+009:57:00, 175
812  ,KAHLER ASTEN (WST)                      ,GERMANY                                 ,+51:10:54,+008:29:24, 839
813  ,KOELN-WAHN                              ,GERMANY                                 ,+50:52:12,+007:10:12,  92
814  ,DEUSELBACH (AWST)                       ,GERMANY                                 ,+49:46:12,+007:03:00, 480
815  ,FREIBURG I.BR.                          ,GERMANY                                 ,+48:00:00,+007:51:00, 300
816  ,FELDBERG/SCHW. (WST)                    ,GERMANY                                 ,+47:52:48,+008:00:00,1486
817  ,GIESSEN                                 ,GERMANY                                 ,+50:34:48,+008:42:59, 186
818  ,HERSFELD;BAD (WST)                      ,GERMANY                                 ,+50:51:00,+009:43:48, 272
819  ,WASSERKUPPE (WST)                       ,GERMANY                                 ,+50:30:00,+009:57:00, 921
820  ,MANNHEIM (WST)                          ,GERMANY                                 ,+49:31:12,+008:33:00,  96
821  ,ULM (WST)                               ,GERMANY                                 ,+48:22:48,+009:57:00, 567
822  ,KLIPPENECK (AWST)                       ,GERMANY                                 ,+48:06:00,+008:45:00, 973
823  ,LUECHOW (AWST)                          ,GERMANY                                 ,+52:58:12,+011:07:48,  17
824  ,BRAUNLAGE (AWST)                        ,GERMANY                                 ,+51:43:48,+010:36:00, 607
825  ,HOF-HOHENSAAS (WST)                     ,GERMANY                                 ,+50:19:12,+011:52:48, 567
826  ,KISSINGEN;BAD (WST)                     ,GERMANY                                 ,+50:12:00,+010:04:48, 262
827  ,NUERNBERG-KRA.                          ,GERMANY                                 ,+49:30:00,+011:03:00, 314
828  ,OBERSTDORF (WST)                        ,GERMANY                                 ,+47:24:00,+010:16:48, 810
829  ,WEIDEN/OPF. (WST)                       ,GERMANY                                 ,+49:40:12,+012:10:48, 438
830  ,REGENSBURG (WST)                        ,GERMANY                                 ,+49:03:00,+012:06:00, 366
831  ,MUEHLDORF/INN (WST)                     ,GERMANY                                 ,+48:16:48,+012:30:00, 405
832  ,WENDELSTEIN (WST)                       ,GERMANY                                 ,+47:42:00,+012:01:12,1832
833  ,THESSALONIKI                            ,GREECE                                  ,+40:37:12,+022:57:00,  32
834  ,ALEXANDROUPOLI                          ,GREECE                                  ,+40:51:00,+025:55:48,   3
835  ,KOZANI                                  ,GREECE                                  ,+40:16:48,+021:49:48, 626
836  ,IOANNINA                                ,GREECE                                  ,+39:42:00,+020:49:12, 484
837  ,MITILINI                                ,GREECE                                  ,+39:03:36,+026:36:00,   5
838  ,AGRINIO                                 ,GREECE                                  ,+38:37:12,+021:22:48,  25
839  ,SKYROS                                  ,GREECE                                  ,+38:54:00,+024:33:00,  18
840  ,TRIPOLI                                 ,GREECE                                  ,+37:31:48,+022:24:00, 652
841  ,KALAMATA                                ,GREECE                                  ,+37:03:36,+022:00:00,  11
842  ,NAXOS                                   ,GREECE                                  ,+37:06:00,+025:22:48,  10
843  ,MILOS                                   ,GREECE                                  ,+36:44:24,+024:28:48, 183
844  ,KYTHIRA                                 ,GREECE                                  ,+36:07:48,+023:01:12, 167
845  ,RHODOS                                  ,GREECE                                  ,+36:24:00,+028:07:12,  11
846  ,IERAPETRA                               ,GREECE                                  ,+35:00:00,+025:43:48,   0
847  ,NAGYKANIZSA                             ,HUNGARY                                 ,+46:27:00,+016:58:11, 139
848  ,GYOR                                    ,HUNGARY                                 ,+47:42:00,+017:40:12, 115
849  ,PECS POGANY                             ,HUNGARY                                 ,+46:00:00,+018:13:48, 201
850  ,MISKOLC AIRPORT                         ,HUNGARY                                 ,+48:04:48,+020:46:12, 232
851  ,SZEGED                                  ,HUNGARY                                 ,+46:15:00,+020:06:00,  82
852  ,DEBRECEN AIRPORT                        ,HUNGARY                                 ,+47:28:48,+021:37:48, 110
853  ,ALFONSINE                               ,ITALY                                   ,+44:29:35,+012:02:39,   5
854  ,BEDONIA                                 ,ITALY                                   ,+44:30:27,+009:37:36, 521
855  ,BOBBIO                                  ,ITALY                                   ,+44:45:18,+009:23:03, 270
856  ,BOSCO CENTRALE                          ,ITALY                                   ,+44:26:20,+010:02:00, 902
857  ,FORLI                                   ,ITALY                                   ,+44:13:06,+012:03:20,  34
858  ,SAN LAZZARO ALBERONI                    ,ITALY                                   ,+45:02:06,+009:43:30,  55
859  ,LIGONCHIO CENTRALE                      ,ITALY                                   ,+44:19:00,+010:20:42, 900
860  ,MONTEOMBRARO                            ,ITALY                                   ,+44:22:35,+011:00:30, 700
861  ,MONZUNO                                 ,ITALY                                   ,+44:16:36,+011:16:24, 600
862  ,PORRETTA TERME                          ,ITALY                                   ,+44:09:15,+010:58:37, 352
892  ,PASSO ROLLE                             ,ITALY                                   ,+46:08:56,+011:46:51,2004
922  ,TERESPOL                                ,POLAND                                  ,+52:04:00,+023:37:00, 133
923  ,LESZNO                                  ,POLAND                                  ,+51:49:59,+016:31:59,  91
924  ,WIELUN                                  ,POLAND                                  ,+51:13:00,+018:34:00, 200
925  ,PAGANELLA                               ,ITALY                                   ,+46:09:00,+011:01:59,2125
926  ,SULEJOW                                 ,POLAND                                  ,+51:21:00,+019:52:00, 188
927  ,WLODAWA                                 ,POLAND                                  ,+51:33:00,+023:31:59, 177
928  ,RACIBORZ                                ,POLAND                                  ,+50:03:00,+018:12:00, 205
929  ,KRAKOW                                  ,POLAND                                  ,+50:04:59,+019:48:00, 237
930  ,BIELSKO-BIALA                           ,POLAND                                  ,+49:48:00,+019:00:00, 398
931  ,FLORINA                                 ,GREECE                                  ,+40:46:59,+021:24:00, 662
932  ,NOWY SACZ                               ,POLAND                                  ,+49:37:00,+020:42:00, 292
933  ,LESKO                                   ,POLAND                                  ,+49:28:00,+022:21:00, 420
934  ,OOSTENDE                                ,BELGIUM                                 ,+51:14:25,+002:55:14,   9
935  ,DEURNE (RLW)                            ,BELGIUM                                 ,+51:12:00,+004:28:00,  14
936  ,MILANO/LINATE                           ,ITALY                                   ,+45:25:59,+009:16:59, 102
937  ,EEKLO                                   ,BELGIUM                                 ,+51:10:59,+003:33:43,   8
938  ,CHIEVRES                                ,BELGIUM                                 ,+50:34:22,+003:49:48,  63
939  ,LAMIA                                   ,GREECE                                  ,+38:54:00,+022:24:00, 144
940  ,KLEINE-BROGEL                           ,BELGIUM                                 ,+51:10:08,+005:27:46,  64
941  ,TANAGRA                                 ,GREECE                                  ,+38:19:00,+023:31:59, 140
942  ,KARASJOK-MARKANNJARGA                   ,NORWAY                                  ,+69:27:48,+025:30:07, 131
943  ,BEAUVECHAIN                             ,BELGIUM                                 ,+50:44:45,+004:57:00, 127
944  ,BIERSET                                 ,BELGIUM                                 ,+50:38:17,+005:26:56, 178
945  ,DOURBES                                 ,BELGIUM                                 ,+50:05:54,+004:35:52, 240
947  ,GENOVA/SESTRI                           ,ITALY                                   ,+44:25:00,+008:51:00,   2
948  ,OCNA SUGATAG                            ,ROMANIA                                 ,+47:46:59,+023:55:59, 504
949  ,VIRTON                                  ,BELGIUM                                 ,+49:34:27,+005:31:32, 255
950  ,BEITEM                                  ,BELGIUM                                 ,+50:53:56,+003:07:26,  28
951  ,IASI                                    ,ROMANIA                                 ,+47:10:00,+027:37:59, 102
953  ,NESBYEN-TODOKK                          ,NORWAY                                  ,+60:34:01,+009:08:00, 166
955  ,SUOLOVUOPMI-LULIT                       ,NORWAY                                  ,+69:34:46,+023:32:03, 381
957  ,ERZURUMBOLGE                            ,TURKEY                                  ,+39:54:24,+041:17:17,1869
958  ,BALLYHAISE (AGR.COLL.)                  ,IRELAND                                 ,+54:03:03,-007:18:36,  67
959  ,PISA/S.GIUSTO                           ,ITALY                                   ,+43:40:59,+010:22:59,   2
960  ,BACAU                                   ,ROMANIA                                 ,+46:31:59,+026:55:00, 184
961  ,MIERCUREA CIUC                          ,ROMANIA                                 ,+46:22:00,+025:43:59, 661
962  ,DEVA                                    ,ROMANIA                                 ,+45:52:00,+022:54:00, 230
963  ,BET DAGAN                               ,ISRAEL                                  ,+32:00:00,+034:47:58,  30
964  ,BALLYSHANNON (CATHLEENS FALL)           ,IRELAND                                 ,+54:30:00,-008:10:44,  38
965  ,BELLACORRICK (MONEYNIERIN)              ,IRELAND                                 ,+54:07:00,-009:32:48,  88
966  ,BOORA                                   ,IRELAND                                 ,+53:13:41,-007:43:51,  58
967  ,TULCEA                                  ,ROMANIA                                 ,+45:10:59,+028:49:00,   4
968  ,CARRICKMACROSS (DUNOGE)                 ,IRELAND                                 ,+53:58:41,-006:45:11,  88
969  ,SULINA                                  ,ROMANIA                                 ,+45:10:00,+029:43:59,   3
970  ,CASEMENT AERODROME                      ,IRELAND                                 ,+53:18:21,-006:26:20,  94
972  ,ROSIORI DE VEDE                         ,ROMANIA                                 ,+44:06:00,+024:58:59, 102
973  ,SORVE                                   ,ESTONIA                                 ,+57:54:00,+022:00:00,   4
976  ,VALGA                                   ,ESTONIA                                 ,+57:48:00,+026:00:00,  62
978  ,KOLKA                                   ,LATVIA                                  ,+57:44:48,+022:35:22,   6
979  ,VENTSPILS (AMSG)                        ,LATVIA                                  ,+57:22:12,+021:33:00,   3
981  ,MERSRAGS                                ,LATVIA                                  ,+57:18:00,+023:06:00,   6
986  ,ALUKSNE                                 ,LATVIA                                  ,+57:26:21,+027:02:07, 198
990  ,SALDUS                                  ,LATVIA                                  ,+56:40:31,+022:30:12, 112
992  ,RIGA; UNIVERCITY                        ,LATVIA                                  ,+56:58:12,+024:04:12,   6
1001 ,DAUGAVPILS                              ,LATVIA                                  ,+55:56:03,+026:39:33, 125
1006 ,LAUKUVA                                 ,LITHUANIA                               ,+55:36:00,+022:12:00, 165
1007 ,SIAULIAI                                ,LITHUANIA                               ,+55:55:59,+023:19:00, 106
1008 ,PANEVEZHIS                              ,LITHUANIA                               ,+55:43:48,+024:24:00,  57
1009 ,BIRZAI                                  ,LITHUANIA                               ,+56:12:00,+024:46:00,  60
1011 ,SHILUTE                                 ,LITHUANIA                               ,+55:24:00,+021:30:00,   4
1016 ,RACEINAY                                ,LITHUANIA                               ,+55:24:00,+023:06:00, 111
1017 ,UTENA                                   ,LITHUANIA                               ,+55:30:00,+025:36:00, 105
1019 ,KIMBARTAY                               ,LITHUANIA                               ,+54:36:00,+022:48:00,  58
1020 ,LAZDIJAI                                ,LITHUANIA                               ,+54:13:59,+023:31:00, 133
1021 ,VARENA                                  ,LITHUANIA                               ,+54:18:00,+024:36:00, 109
1040 ,ROROS                                   ,NORWAY                                  ,+62:34:01,+011:23:00, 628
1041 ,KONGSBERG IV                            ,NORWAY                                  ,+59:39:47,+009:39:00, 168
1042 ,LYNGOR FYR                              ,NORWAY                                  ,+58:38:00,+009:09:01,   4
1043 ,TVEITSUND                               ,NORWAY                                  ,+59:01:37,+008:31:14, 252
1044 ,LINDESNES FYR                           ,NORWAY                                  ,+57:58:59,+007:02:53,  13
1045 ,LISTA FYR                               ,NORWAY                                  ,+58:06:36,+006:34:05,  14
1046 ,SOLA                                    ,NORWAY                                  ,+58:53:03,+005:38:12,   7
1047 ,SAUDA                                   ,NORWAY                                  ,+59:38:54,+006:21:47,   5
1048 ,GARDERMOEN                              ,NORWAY                                  ,+60:12:23,+011:04:49, 202
1049 ,TAKLE                                   ,NORWAY                                  ,+61:01:36,+005:23:06,  38
1050 ,SVINOY                                  ,NORWAY                                  ,+62:17:24,+005:18:00,  38
1051 ,TAFJORD                                 ,NORWAY                                  ,+62:14:00,+007:25:00,  15
1052 ,VAERNES                                 ,NORWAY                                  ,+63:30:00,+010:53:24,  12
1053 ,RENA - HAUGEDALEN                       ,NORWAY                                  ,+61:09:33,+011:26:33, 240
1054 ,KJOBLI I SNAASA                         ,NORWAY                                  ,+64:09:36,+012:28:12, 195
1055 ,ORLAND                                  ,NORWAY                                  ,+63:42:01,+009:36:05,  10
1056 ,SKROVA FYR                              ,NORWAY                                  ,+68:09:01,+014:39:02,  11
1057 ,BARDUFOSS                               ,NORWAY                                  ,+69:03:32,+018:32:25,  76
1058 ,SIHCCAJAVRI                             ,NORWAY                                  ,+68:45:19,+023:32:18, 382
1059 ,FRUHOLMEN FYR                           ,NORWAY                                  ,+71:05:35,+023:59:42,  13
1060 ,RUSTEFJELBMA                            ,NORWAY                                  ,+70:24:01,+028:12:01,  10
1061 ,SANTAREM                                ,PORTUGAL                                ,+39:14:24,-008:42:59,  54
1062 ,PEGOES                                  ,PORTUGAL                                ,+38:37:48,-008:39:00,  64
1063 ,ALVEGA                                  ,PORTUGAL                                ,+39:27:36,-008:02:23,  51
1064 ,MORA                                    ,PORTUGAL                                ,+38:55:48,-008:09:36, 110
1065 ,PENHAS DOURADAS                         ,PORTUGAL                                ,+40:24:36,-007:33:00,1380
1066 ,PORTALEGRE                              ,PORTUGAL                                ,+39:16:48,-007:24:36, 597
1068 ,TERIBERKA                               ,RUSSIAN FEDERATION                      ,+69:12:00,+035:06:00,  33
1069 ,PADUN                                   ,RUSSIAN FEDERATION                      ,+68:36:59,+031:48:00,  34
1072 ,LOVOZERO                                ,RUSSIAN FEDERATION                      ,+68:04:48,+034:48:59, 161
1074 ,KANIN NOS                               ,RUSSIAN FEDERATION                      ,+68:39:00,+043:18:00,  47
1077 ,KRASNOSHELYE                            ,RUSSIAN FEDERATION                      ,+67:22:12,+037:01:48, 155
1079 ,SOJNA                                   ,RUSSIAN FEDERATION                      ,+67:54:00,+044:06:00,  18
1080 ,MYS_MIKULKIN                            ,RUSSIAN FEDERATION                      ,+67:48:00,+046:42:00,   6
1081 ,INDIGA                                  ,RUSSIAN FEDERATION                      ,+67:42:00,+048:46:12,   4
1084 ,UMBA                                    ,RUSSIAN FEDERATION                      ,+66:40:12,+034:19:48,  39
1085 ,PYALICA                                 ,RUSSIAN FEDERATION                      ,+66:12:00,+039:30:00,   9
1086 ,ABRAMOVSKIJ_MAJAK                       ,RUSSIAN FEDERATION                      ,+66:24:00,+043:18:00,  21
1088 ,UKHTA KALEVALA                          ,RUSSIAN FEDERATION                      ,+65:12:00,+031:10:12, 118
1090 ,ZHIZHGIN MAYAK                          ,RUSSIAN FEDERATION                      ,+65:12:00,+036:49:12,  26
1091 ,ZIMNEGORSKIY MAYAK                      ,RUSSIAN FEDERATION                      ,+65:28:12,+039:43:48,  85
1093 ,MEZEN                                   ,RUSSIAN FEDERATION                      ,+65:52:12,+044:13:12,  14
1102 ,PINEGA                                  ,RUSSIAN FEDERATION                      ,+64:42:00,+043:24:00,  26
1104 ,REBOLY                                  ,RUSSIAN FEDERATION                      ,+63:49:12,+030:49:12, 180
1106 ,SEGEZA                                  ,RUSSIAN FEDERATION                      ,+63:42:00,+034:18:59, 112
