0.13562,0.22238,0.16989,0.25884,0.29384,0.41013,0.47466,0.49362,0.50784,0.39446,0.27816,0.22494
0.22238,0.16989,0.25884,0.29384,0.41013,0.47466,0.49362,0.50784,0.39446,0.27816,0.22494,0.037186
0.16989,0.25884,0.29384,0.41013,0.47466,0.49362,0.50784,0.39446,0.27816,0.22494,0.037186,0.1502
0.25884,0.29384,0.41013,0.47466,0.49362,0.50784,0.39446,0.27816,0.22494,0.037186,0.1502,0.19541
0.29384,0.41013,0.47466,0.49362,0.50784,0.39446,0.27816,0.22494,0.037186,0.1502,0.19541,0.2078
0.41013,0.47466,0.49362,0.50784,0.39446,0.27816,0.22494,0.037186,0.1502,0.19541,0.2078,0.32629
0.47466,0.49362,0.50784,0.39446,0.27816,0.22494,0.037186,0.1502,0.19541,0.2078,0.32629,0.39045
0.49362,0.50784,0.39446,0.27816,0.22494,0.037186,0.1502,0.19541,0.2078,0.32629,0.39045,0.55195
0.50784,0.39446,0.27816,0.22494,0.037186,0.1502,0.19541,0.2078,0.32629,0.39045,0.55195,0.52351
0.39446,0.27816,0.22494,0.037186,0.1502,0.19541,0.2078,0.32629,0.39045,0.55195,0.52351,0.54648
0.27816,0.22494,0.037186,0.1502,0.19541,0.2078,0.32629,0.39045,0.55195,0.52351,0.54648,0.36748
0.22494,0.037186,0.1502,0.19541,0.2078,0.32629,0.39045,0.55195,0.52351,0.54648,0.36748,0.25009
0.037186,0.1502,0.19541,0.2078,0.32629,0.39045,0.55195,0.52351,0.54648,0.36748,0.25009,0.24681
0.1502,0.19541,0.2078,0.32629,0.39045,0.55195,0.52351,0.54648,0.36748,0.25009,0.24681,0.16806
0.19541,0.2078,0.32629,0.39045,0.55195,0.52351,0.54648,0.36748,0.25009,0.24681,0.16806,0.25191
0.2078,0.32629,0.39045,0.55195,0.52351,0.54648,0.36748,0.25009,0.24681,0.16806,0.25191,0.26212
0.32629,0.39045,0.55195,0.52351,0.54648,0.36748,0.25009,0.24681,0.16806,0.25191,0.26212,0.27889
0.39045,0.55195,0.52351,0.54648,0.36748,0.25009,0.24681,0.16806,0.25191,0.26212,0.27889,0.38425
