params.sigma,params.delta,params.rho,metrics.RMSE,metrics.Mean_rules,metrics.time
0.1,600,0.1,0.02539588134245,7.78973105134,7.44412612915039
0.2,1300,0.1,0.0254205711895,15.45802770985,11.1898493766785
0,800,0,0.0254338954445,3.250611246945,5.48526787757874
0.2,1200,0.1,0.0254794100508,15.1719641402,11.1677018404007
0,400,0,0.02557381077865,2.161369193155,5.09836733341217
0,200,0,0.0256874780439,1.4771801141,5.02813577651978
0,500,0,0.0256895664778,2.50285248574,5.12258076667786
0.05,800,0,0.02575499335715,8.29869600652,9.11891782283783
0,300,0,0.02575510116295,1.789731051345,5.19115221500397
0,700,0,0.02585594293665,3.105949470255,5.53544104099274
0.05,900,0,0.02592085507445,8.99388753056,9.54940629005432
0.05,400,0,0.02595218669815,5.11858190709,7.53360140323639
0.05,300,0,0.026042583562,4.08272208639,7.11815774440765
0,900,0,0.0260426325397,3.416462917685,5.60754370689392
0.05,5,1,0.0261201356563,1.32681336593,8.05590271949768
0,600,0,0.0261280765208,2.91605541972,5.23130965232849
0,1000,0,0.02620230568375,3.60717196414,5.64974522590637
0.1,5,1,0.0262106356134,1.73431132844,10.8222599029541
0,1300,0,0.0262318050636,3.9804400978,5.76354610919952
0,1200,0,0.02623991713585,3.92665036675,5.7749605178833
0.2,5,1,0.0262726282563,2.54930725346,14.5870680809021
0.1,300,0,0.02634446562665,4.62184189079,7.91044342517853
0,1100,0,0.02639280968145,3.761206193965,5.74212729930878
0.05,700,0,0.02653857946285,7.5065199674,8.6633632183075
0.05,600,0,0.0267127469429,7.00855745721,8.34330821037293
0.2,300,0,0.02684506205685,5.5912795436,8.79784166812897
0.1,500,0,0.02710453271695,6.869600651995,8.88428711891174
0.05,500,0,0.0272165015362,5.98207008965,7.90911722183228
0.05,1000,0,0.0272557045216,9.60554197229,9.99182295799255
0.2,400,0,0.02793014766995,6.86715566422,9.3199599981308
0.1,400,0,0.02799723323475,5.95517522412,8.11879467964172
0.05,1200,0,0.0280263028154,10.8528932355,10.8305991888046
0.1,800,0,0.0282653111961,9.442135289325,10.1659464836121
0.05,1100,0,0.0283429649732,10.2326813366,10.3521713018417
0.1,900,0,0.02837388732895,10.1544417278,10.6424461603165
0.1,700,0,0.02844219202645,8.75020374898,9.73165428638458
0.05,1300,0,0.0286874716864,11.0399348003,10.861740231514
0.1,1000,0,0.029256583988,11.2379788101,11.1924654245377
0.1,600,0,0.0293753051727,7.78973105134,9.25800931453705
0.2,500,0,0.0294116969467,7.877343113285,10.0356324911118
0.2,700,0,0.02953184410965,10.1915240424,11.2058613300324
0.2,800,0,0.0295473987728,11.08435207825,11.8229268789291
0.2,900,0,0.02957755467395,11.73431132845,12.4165552854538
0.1,1100,0,0.0303850261751,12.06030969845,11.6235102415085
0.2,600,0,0.03071256017425,9.22208638957,10.7037973403931
0.1,1200,0,0.0309566080136,13.0089649552,12.2742531299591
0.2,1000,0,0.03104065644425,13.0183374083,13.0112143754959
0.1,1300,0,0.0313086081055,13.25183374085,12.4554980993271
0.2,1100,0,0.03166481604535,14.0350448248,13.4871977567673
0.2,1200,0,0.03281042038995,15.1719641402,14.0831670761108
0.2,1300,0,0.0329898770886,15.45802770985,14.2066277265549
